scenario,year,national_co2,is_actual
baseline,2023,11169.962000000001,True
baseline,2024,11282.290573833474,False
baseline,2025,11484.881008643511,False
baseline,2026,11687.703000073536,False
baseline,2027,11885.332736818484,False
baseline,2028,12086.317016354868,False
baseline,2029,12289.124868650202,False
baseline,2030,12494.630280104886,False
baseline,2031,12689.03299431219,False
baseline,2032,12888.85543970392,False
baseline,2033,13091.331884742609,False
baseline,2034,13296.027439359545,False
baseline,2035,13503.588452438898,False
low_carbon,2023,11169.962000000001,True
low_carbon,2024,11228.066488285065,False
low_carbon,2025,11374.202618310188,False
low_carbon,2026,11519.48581433694,False
low_carbon,2027,11658.532694706684,False
low_carbon,2028,11799.25450106778,False
low_carbon,2029,11940.029957271467,False
low_carbon,2030,12081.525453504059,False
low_carbon,2031,12210.893705641078,False
low_carbon,2032,12343.758581290445,False
low_carbon,2033,12477.456337801945,False
low_carbon,2034,12611.347787745399,False
low_carbon,2035,12746.115749016633,False
extensive,2023,11169.962000000001,True
extensive,2024,11337.041397695659,False
extensive,2025,11596.897817492923,False
extensive,2026,11858.868488788281,False
extensive,2027,12117.58058351782,False
extensive,2028,12381.959248690813,False
extensive,2029,12650.504065338244,False
extensive,2030,12924.198373525925,False
extensive,2031,13188.487487431472,False
extensive,2032,13460.85373879387,False
extensive,2033,13738.581949681218,False
extensive,2034,14021.130629873964,False
extensive,2035,14309.245817853347,False
