province,year,base_year,delta_CO2,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio,delta_P,delta_A,delta_B,delta_C
Anhui,1991,1990,3.4680000000000035,7.549516567451064e-15,2.1769078914218734e-15,2.1769078914218734e-15,0.9614843260044639,-0.4197325876366843,3.9157064852778927,-0.9894582236456767
Anhui,1992,1991,4.838999999999999,2.5757174171303632e-14,5.322829958938549e-15,5.322829958938549e-15,0.857084015360363,11.968820792287692,-8.137676837110542,0.1507720294624596
Anhui,1993,1992,7.316999999999993,7.993605777301127e-15,1.0924703809349644e-15,1.0924703809349644e-15,0.796041850282788,18.330604981461068,-14.085043746187106,2.2753969144432356
Anhui,1994,1993,1.7270000000000039,-2.6645352591003757e-14,1.5428692872613607e-14,1.5428692872613607e-14,0.7701978143102903,27.662949752656445,-23.14703792613981,-3.559109640826895
Anhui,1995,1994,25.119,4.973799150320701e-14,1.9800944107331904e-15,1.9800944107331904e-15,0.887306652234574,17.047202840231765,-11.862965506178321,19.04745601371193
Anhui,1996,1995,8.941000000000003,-6.039613253960852e-14,6.7549639346391345e-15,6.7549639346391345e-15,1.029219584273232,26.91593677390377,-20.80299043891895,1.7988340807420122
Anhui,1997,1996,2.4669999999999987,5.3290705182007514e-14,2.160142082772904e-14,2.160142082772904e-14,1.073442394766387,14.112848599651842,-1.2170258745512406,-11.502265119867044
Anhui,1998,1997,1.1920000000000073,-1.7763568394002505e-15,1.490232247818993e-15,1.490232247818993e-15,1.0804749707998331,4.695724822842421,1.9282658540816011,-6.512465647723847
Anhui,1999,1998,3.36099999999999,4.618527782440651e-14,1.3741528659448571e-14,1.3741528659448571e-14,1.0151226683723615,3.279637297822954,-2.1292946933712478,1.1955347271758758
Anhui,2000,1999,7.231000000000009,-1.0658141036401503e-14,1.47395118744316e-15,1.47395118744316e-15,-2.901607539850339,8.318528222274058,1.305748147426025,0.5083311701502761
Anhui,2001,2000,9.107,1.7763568394002505e-14,1.9505400674209407e-15,1.9505400674209407e-15,0.7582043807601246,8.026819710266157,-1.8683666095265818,2.1903425185002816
Anhui,2002,2001,8.009999999999991,-8.171241461241152e-14,1.0201300201299828e-14,1.0201300201299828e-14,0.36752059237007584,11.011982241446256,-6.004737175169183,2.635234341352924
Anhui,2003,2002,18.393,-3.552713678800501e-14,1.9315574831732185e-15,1.9315574831732185e-15,0.47550360677905096,16.233680268375377,-7.177371907876666,8.861188032722275
Anhui,2004,2003,1.4190000000000111,-1.532107773982716e-14,1.0797094954071205e-14,1.0797094954071205e-14,1.7215477145479388,29.984061623654245,-30.772935921582267,0.48632658338010976
Anhui,2005,2004,12.972999999999985,1.2967404927621828e-13,9.995687140693628e-15,9.995687140693628e-15,-2.994891328252564,23.02974048851216,-15.84751212214648,8.785662961886738
Anhui,2006,2005,24.997000000000014,-1.4921397450962104e-13,5.969275293420049e-15,5.969275293420049e-15,-0.3107057388856388,25.619670327731,-2.255686350212372,1.9437217613671707
Anhui,2007,2006,29.937999999999988,6.394884621840902e-14,2.1360426955177048e-15,2.1360426955177048e-15,0.28445478469190855,40.118117987701616,-26.1739688868118,15.709396114418197
Anhui,2008,2007,32.71600000000001,-1.1368683772161603e-13,3.4749614170930433e-15,3.4749614170930433e-15,0.6901187764416828,45.1763498829972,-35.8257974836516,22.675328824212833
Anhui,2009,2008,28.964,1.4210854715202004e-14,4.906385414722415e-16,4.906385414722415e-16,-0.18239365403883373,36.046038528086044,-18.453661534123647,11.55401666007642
Anhui,2010,2009,10.401999999999987,2.3803181647963356e-13,2.288327403188174e-14,2.288327403188174e-14,-8.624532603593742,70.20279288596382,-34.779554401042844,-16.39670588132748
Anhui,2011,2010,31.31400000000002,-1.9895196601282805e-13,6.353451044671007e-15,6.353451044671007e-15,0.8052418620327851,67.55040046221771,-36.74868568826594,-0.29295663598434024
Anhui,2012,2011,19.543999999999983,1.7763568394002505e-13,9.089013709579677e-15,9.089013709579677e-15,0.34722977079220824,40.35640587033833,-12.82169649858799,-8.337939142542746
