split,year,province_idx,true_log_co2,stirpat_log_pred,residual_pred,hybrid_log_pred,true_co2,stirpat_co2_pred,hybrid_co2_pred,stirpat_abs_pct_err,hybrid_abs_pct_err
train,1993,0,4.3545527,4.3873353,-0.0059897457,4.3813457,77.832,80.42583,79.94555,0.033325963,0.027155261
train,1994,0,4.3764987,4.39576,-0.0040186536,4.3917413,79.55898,81.10625,80.78096,0.019448012,0.015359388
train,1995,0,4.650889,4.6480613,-0.0023913854,4.64567,104.67799,104.38241,104.13311,0.002823761,0.0052053323
train,1996,0,4.7328506,4.721803,0.001641409,4.7234445,113.61897,112.370705,112.555275,0.010986441,0.009361974
train,1997,0,4.754331,4.745323,-0.0005891309,4.7447343,116.08598,115.044975,114.97726,0.00896756,0.009550908
train,1998,0,4.7645473,4.759629,-0.0015953002,4.7580333,117.27803,116.70258,116.51654,0.004906691,0.006493031
train,1999,0,4.792803,4.783729,-0.0013815858,4.7823477,120.639015,119.549324,119.3843,0.009032659,0.010400574
train,2000,0,4.851014,4.848434,-0.0006248546,4.8478093,127.87,127.540504,127.46086,0.0025768224,0.003199668
train,2001,0,4.919813,4.9181643,0.0021708715,4.9203353,136.977,136.75134,137.04857,0.0016474461,0.0005224506
train,2002,0,4.976644,4.977664,0.0019832845,4.979647,144.98698,145.13495,145.42307,0.0010205363,0.0030077246
train,2003,0,5.096079,5.0944614,0.0022501363,5.0967116,163.38,163.11598,163.48343,0.0016160045,0.0006330277
train,2004,0,5.1047263,5.0963473,0.0029941988,5.0993414,164.79897,163.42387,163.91391,0.008344054,0.0053705163
train,2005,0,5.180502,5.170014,0.0036707143,5.1736846,177.77202,175.91728,176.56421,0.01043323,0.006794148
train,2006,0,5.3120675,5.3010345,0.007138116,5.3081727,202.76901,200.54413,201.9808,0.010972505,0.0038872212
train,2007,0,5.44978,5.4311094,0.0070112976,5.438121,232.70695,228.40251,230.00955,0.01849727,0.011591415
train,2008,0,5.5813246,5.553722,0.008666551,5.5623884,265.42297,258.19678,260.44412,0.027225211,0.018758178
train,2009,0,5.684895,5.657731,0.00909109,5.666822,294.38696,286.49783,289.11426,0.026798502,0.017910797
train,2010,0,5.7196198,5.702049,0.00920381,5.7112527,304.789,299.48035,302.24945,0.017417476,0.00833216
train,2011,0,5.8174176,5.799158,0.008368846,5.807527,336.103,330.02164,332.79514,0.018093739,0.009841808
train,2012,0,5.8739386,5.860001,0.0063593513,5.8663607,355.64697,350.72455,352.96213,0.01384076,0.0075491853
train,2013,0,5.9350634,5.9251847,0.0026914678,5.927876,378.06393,374.34756,375.35638,0.009830003,0.0071616196
train,2014,0,5.958931,5.9534125,0.00017483113,5.9535875,387.19595,385.06512,385.13254,0.005503231,0.0053291246
train,2015,0,5.9695306,5.969324,-0.00040132413,5.9689226,391.32193,391.24115,391.0841,0.00020642858,0.0006077438
train,2016,0,5.9852905,5.9886775,-0.0023328369,5.986345,397.538,398.88672,397.95734,0.003392693,0.0010548477
train,2017,0,6.0006075,6.0067854,-0.0032318356,6.0035534,403.67395,406.17554,404.8649,0.0061970484,0.0029502732
train,2018,0,6.031541,6.037078,-0.0036734077,6.0334044,416.35608,418.66785,417.1327,0.005552381,0.0018652576
train,2019,0,6.048393,6.048349,-0.0035260865,6.0448227,423.43195,423.41336,421.92294,4.3891836e-05,0.003563743
train,2020,0,6.056756,6.0625787,-0.004011634,6.058567,426.98807,429.48148,427.762,0.0058395267,0.0018125232
train,1993,1,4.1029077,4.1390247,-0.015918395,4.1231065,60.51599,62.741604,61.75077,0.036777265,0.020404182
train,1994,1,4.1281824,4.163535,-0.0127731,4.150762,62.06501,64.29842,63.482357,0.03598507,0.02283649
train,1995,1,4.2040954,4.2194014,-0.010946175,4.208455,66.96,67.99277,67.25256,0.01542366,0.004369241
train,1996,1,4.285516,4.29629,-0.008100178,4.28819,72.64,73.426865,72.83451,0.010832396,0.0026777452
train,1997,1,4.238373,4.2699065,-0.006202471,4.263704,69.295006,71.51495,71.07274,0.03203619,0.02565456
train,1998,1,4.246078,4.279516,-0.006649582,4.2728667,69.831,72.205505,71.72696,0.03400358,0.027150663
train,1999,1,4.2621446,4.296081,-0.006676762,4.2894044,70.962006,73.41154,72.92302,0.034518916,0.0276347
train,2000,1,4.280534,4.3049374,-0.006939138,4.2979984,72.27901,74.064575,73.55243,0.024703829,0.017618148
train,2001,1,4.2950926,4.304374,-0.0054435846,4.2989306,73.339005,74.02287,73.621025,0.009324757,0.0038454377
train,2002,1,4.30443,4.3152504,-0.004232584,4.311018,74.02701,74.83236,74.516304,0.010879154,0.006609695
train,2003,1,4.397863,4.4040093,-0.0017536026,4.4022555,81.276985,81.77809,81.634796,0.006165414,0.004402365
train,2004,1,4.4990873,4.497613,0.0005353349,4.4981484,89.93501,89.80251,89.85062,0.0014732827,0.00093841495
train,2005,1,4.5128136,4.5120153,0.0032772175,4.5152926,91.177986,91.10524,91.40431,0.00079784915,0.0024822438
train,2006,1,4.563608,4.558204,0.0040918174,4.562296,95.92898,95.41198,95.80318,0.005389386,0.0013113982
train,2007,1,4.6208763,4.608464,0.005742296,4.614206,101.58301,100.3299,100.90766,0.012335775,0.006648222
train,2008,1,4.6092715,4.5935006,0.008432776,4.6019335,100.41097,98.83983,99.67685,0.015647136,0.0073111854
train,2009,1,4.6039896,4.588806,0.010634482,4.5994406,99.88202,98.376915,99.42867,0.015068819,0.0045388173
train,2010,1,4.6546364,4.634593,0.011385992,4.645979,105.07101,102.98599,104.16529,0.01984386,0.008620037
train,2011,1,4.5869656,4.565603,0.012917377,4.5785203,98.196,96.12051,97.37021,0.021136226,0.008409614
