province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,A,B,C,EnergyIntensity,CO2_source
Anhui,1990,62.208,658.0,5675.0,2027.254252018596,1686.4581610003017,183.96866805156935,6.583407164862174e-06,156.69435546719947,83.1892772858188,9.074770363331902,3.247450169758867e-07,7.729388423340306,33.97941308839634,17.94,0.11594713656387665,3.0809335137060727,0.030685840189042735,3.0809335137060727,MEIC_1990_2023
Anhui,1991,65.676,663.6,5761.0,2173.6555786900008,1794.4864859086915,202.60248594265843,2.3390173129628033e-05,178.10008834407813,82.55615579125818,9.320818253311367,1.0760754076653033e-06,8.193574460007776,35.37425795166785,17.96,0.11518833535844472,3.2755509021850524,0.030214538422679193,3.2755509021850524,MEIC_1990_2023
Anhui,1992,70.515,801.2,5834.0,2328.6464621468585,1906.7417136265242,222.98908376700004,7.949069055300692e-05,202.08904892184148,81.88197498510074,9.575909756666919,3.413600640765441e-06,8.678391168727636,36.71896434079361,18.2,0.13733287624271512,2.906448405075959,0.030281539575135772,2.906448405075959,MEIC_1990_2023
Anhui,1993,77.832,1037.1,5897.0,2492.566219399699,2023.0811706766458,245.2778801648177,0.0002584039826297401,228.92123174871074,81.16459073106903,9.840375684136871,1.0366985663954526e-05,9.18415847759677,38.00812324549305,18.48,0.17586908597591994,2.4034000765593477,0.03122564985204075,2.4034000765593477,MEIC_1990_2023
Anhui,1994,79.559,1488.47,5955.0,2665.7546141973276,2143.314634099999,269.6292764526013,0.0008034931895956158,258.8754588205567,80.40179777557515,10.11455724456424,3.0141303528702757e-05,9.711151110527306,39.23697786925827,18.78,0.24995298068849706,1.7909360714003826,0.02984483251994881,1.7909360714003826,MEIC_1990_2023
Anhui,1995,104.678,1810.6,6013.0,2848.550692126658,2267.19974953992,296.2152628625604,0.0023898198787416104,292.24975871272716,79.59134291716903,10.39880609045484,8.389599263046393e-05,10.259594800980729,40.40140642099009,19.09,0.3011142524530184,1.5732633890017993,0.03674781013703849,1.5732633890017993,MEIC_1990_2023
Anhui,1996,113.619,2339.25,6070.0,3041.2915374296394,2394.437460586051,325.2200338867513,0.006799044524309988,329.3616132094025,78.73094148053035,10.693484326780865,0.00022355780235577908,10.82966263365083,46.9,21.71,0.38537891268533775,1.300113941404142,0.03735879924751495,1.300113941404142,MEIC_1990_2023
Anhui,1997,116.086,2669.95,6127.0,3434.6492894000003,2592.8377440000004,400.501391,0.019587984278351657,441.31015440000004,75.49061128313755,11.660619680618503,0.0005703052226847151,12.848769036243949,47.2,22.02,0.43576791251836133,1.2864095917152008,0.033798501744636375,1.2864095917152008,MEIC_1990_2023
Anhui,1998,117.278,2805.45,6184.0,3669.0948412000007,2782.6574390000005,450.105313,0.05110360515129251,436.3320892,75.84043366101474,12.267475562250395,0.0013928123246489523,11.892090776734864,44.7,22.33,0.4536626778783958,1.307845387085851,0.03196374176079992,1.307845387085851,MEIC_1990_2023
Anhui,1999,120.639,2908.59273,6237.0,3736.501481600001,2825.6455690000007,472.9472250000002,0.12167694358151752,437.90868759999995,75.62276056665809,12.657487955751598,0.0032564403943288267,11.71975147759031,43.97006,26.0,0.466344834054834,1.2846423781028984,0.0322866190724328,1.2846423781028984,MEIC_1990_2023
Anhui,2000,127.87,3038.23588,6093.0,3944.2903219999994,2990.248081,465.10808699999995,0.28749011839094135,488.934154,75.81206850624929,11.791933377869643,0.0072887666708358854,12.395998115881087,42.6666,28.0,0.4986436697849992,1.298217280614828,0.032419013196564594,1.298217280614828,MEIC_1990_2023
Anhui,2001,136.977,3246.71456,6128.0,4155.866665800001,3157.974939000001,468.038274,0.649049330422173,529.8534528,75.98836038191551,11.26210996737796,0.01561766492085548,12.749529650706531,43.0,29.3,0.5298163446475196,1.2800221851963485,0.0329599120990163,1.2800221851963485,MEIC_1990_2023
Anhui,2002,144.987,3519.71951,6144.0,4317.407140000001,3256.2522110000014,484.652785,1.383043449420292,576.5021440000002,75.42147648831656,11.225552033529084,0.032034121512577375,13.352971478154362,43.5,30.7,0.5728710139973958,1.2266338632194023,0.033581961417704045,1.2266338632194023,MEIC_1990_2023
Anhui,2003,163.38,3923.1,6163.0,4593.074901600001,3355.6853560000004,582.3931100000002,2.888817374845738,654.9964356,73.05966978311295,12.679808678868335,0.06289506347565585,14.260521538018715,44.82451,32.0,0.6365568716534156,1.17077691152405,0.03557094179828996,1.17077691152405,MEIC_1990_2023
Anhui,2004,164.799,4759.32,6228.0,4619.256121799999,3122.4484079999993,686.502663,1.995,808.3100507999998,67.59634724006743,14.86175793024632,0.04318877211819557,17.498706057568057,45.08548,33.5,0.7641811175337186,0.9705706113058167,0.03567652359050883,0.9705706113058167,MEIC_1990_2023
Anhui,2005,177.772,5350.17,6120.0,4733.627923,3166.2780110000003,683.7332620000001,11.305,872.3116499999998,66.88903442569963,14.444169950025879,0.23882316447118018,18.427972459803318,41.3,35.5,0.8742107843137255,0.8847621520437668,0.0375551274607436,0.8847621520437668,MEIC_1990_2023
Anhui,2006,202.769,6112.5,6110.0,5344.281864200001,3515.1600600000006,747.531391,25.935,1055.6554132,65.77422653447927,13.987499349679226,0.48528503284476887,19.752989082996724,43.1,37.1,1.0004091653027822,0.8743201413824133,0.037941299720416787,0.8743201413824133,MEIC_1990_2023
Anhui,2007,232.707,7360.92,6118.0,5705.7690848790135,3743.0839625990793,798.6577949125851,50.66463153757044,1113.3626958297777,65.6017428486321,13.997373238064014,0.8879544682563113,19.51292944504756,44.7,38.7,1.2031578947368422,0.7751434718593618,0.04078451064847718,0.7751434718593618,MEIC_1990_2023
Anhui,2008,265.423,8851.66,6135.0,5940.832977167784,3767.866396363897,819.0881478850981,88.77037120000001,1265.108061718788,63.42320026240124,13.787429322337017,1.4942411534067426,21.295129261854996,46.6,40.5,1.4428133659331703,0.6711546734926311,0.044677741491823096,0.6711546734926311,MEIC_1990_2023
