year,true_energy,stirpat_energy_pred,hybrid_energy_pred,true_co2,stirpat_co2_pred,hybrid_co2_pred
1990,32809.90444014108,36286.383705363536,,2009.676,2238.035647905788,
1991,37655.26126603695,40677.179089919555,,2111.053,2292.629570560745,
1992,43090.13456424535,45573.58840167568,,2268.867,2414.868973063323,
1993,49157.521172359295,51525.164417916996,50279.84344399763,2525.8450000000003,2669.1878732771556,2587.828414857431
1994,55897.7821702533,58784.521552363745,57864.85072110488,2612.9139999999998,2777.0629108789,2716.8975658794816
1995,63347.33083506493,66922.23150658947,66052.78047202837,2891.812,3079.275695930956,3025.792007170257
1996,71537.2106801214,76674.95683754905,75625.76875925524,3007.139,3249.9881103883513,3191.966811610995
1997,98196.0486588,92143.20141039568,90203.89876706713,3036.334,2856.443053237195,2788.8946586224415
1998,101136.47933880001,94282.59578152266,95618.93851214618,3049.416,2865.98756934982,2898.645289291726
1999,100683.06607680001,95555.08048272612,99600.06411800507,3095.0009999999997,2952.1345633500728,3067.997152012655
2000,103980.84620854976,101075.92671189678,107174.43789438576,3249.583,3173.14064390128,3356.4857194045558
2001,107842.81049045376,105444.26666555859,110650.09674457589,3399.643,3353.9002217687244,3503.9986654955137
2002,117796.56805310716,114533.12105301057,118904.93091401417,3694.849,3608.6902697983287,3738.008826774911
2003,132117.248651,129060.10525880769,133296.68393647787,4222.036,4131.9277865477825,4260.98479990057
2004,148682.9038696,145927.690521029,150190.91964831637,4780.082,4699.0800371894065,4827.804293369435
2005,180519.12322894,162132.24900717483,166049.53044697363,5544.504,4983.433168396556,5098.371967106416
2006,199922.7783478623,181023.13516450292,190874.82355523724,6158.827,5575.776389808227,5880.622209512719
2007,219219.2328809481,201469.6087843103,215865.73341380648,6755.611,6213.066084137759,6666.066018263346
2008,235118.7515658239,225416.68816869205,243039.4724607993,7149.359,6872.672386011704,7412.820187598176
2009,251222.90237919957,233711.66135153416,246681.49809893864,7509.528,7001.501076567559,7389.605663401692
2010,275822.5840181422,265783.68426350376,279181.59968590096,8192.231,7915.519118758909,8315.8882450718
2011,301650.2680738,298873.81439687405,308840.9781734301,9105.687,9046.457655973229,9344.60416577053
2012,317189.41017720546,314455.4252646375,319940.8655731566,9326.903,9274.361112214208,9439.50054594431
2013,314773.9839718,327291.1411784038,327870.9787286678,9391.12,9759.899074984554,9776.790604376056
2014,325524.00061963557,334421.65464055294,326067.09321348905,9281.616,9510.118068853777,9290.775431869044
2015,328491.4962646089,333220.78414769,321147.4374186547,9182.768,9267.061473476844,8968.741405214214
2016,333310.875938776,340241.4719880412,326414.4733324702,9245.982,9382.297585394273,9062.117593260542
2017,338346.66326360096,353657.4504233626,338874.77428829734,9455.126,9795.46775295134,9465.852423922317
2018,344778.3605828,366830.6262397745,347214.71571736765,9780.265,10261.327387093175,9815.717877271854
2019,357687.2560620993,373064.1163185017,346323.0904705864,10081.49,10311.052256589548,9712.266605881288
2020,365599.2008723798,375514.53737027687,347953.3603078283,10157.699,10197.300146299107,9630.824861655143
2021,379775.7981995811,412550.44043845375,384446.1354079993,10633.348,11346.351329806641,10806.858643653997
2022,389500.9874295326,433195.0762481036,397890.4003549301,10605.248,11656.136051419728,10910.665558635383
2023,387926.6164322901,417741.2984271216,373694.7720876073,11169.962,11837.664330525253,10764.136659266695
