split,year,province_idx,true_log_energy,stirpat_log_energy_pred,residual_pred,hybrid_log_energy_pred,true_energy,stirpat_energy_pred,hybrid_energy_pred,stirpat_abs_pct_err,hybrid_abs_pct_err
train,1993,0,7.8210683,7.6211596,0.12075853,7.741918,2492.567,2040.9274,2302.8855,0.18119454,0.07609882
train,1994,0,7.8882422,7.686544,0.13323347,7.8197775,2665.7542,2178.8313,2489.3516,0.18265857,0.06617361
train,1995,0,7.9545655,7.768081,0.14886159,7.9169426,2848.5508,2363.931,2743.3706,0.17012857,0.0369241
train,1996,0,8.020038,7.9489627,0.15438083,8.103344,3041.2915,2832.6353,3305.503,0.06860778,0.086874746
train,1997,0,8.14167,8.043369,0.11863323,8.162003,3434.65,3113.0842,3505.1987,0.093624,0.020540325
train,1998,0,8.207701,8.053422,0.098466136,8.151888,3669.0964,3144.5369,3469.9238,0.14296696,0.05428383
train,1999,0,8.225905,8.0684395,0.10432382,8.172763,3736.503,3192.1165,3543.1196,0.1456941,0.05175516
train,2000,0,8.280025,8.090867,0.12164942,8.212517,3944.2913,3264.5166,3686.8098,0.17234392,0.06527952
train,2001,0,8.332276,8.138947,0.14119823,8.280145,4155.867,3425.3076,3944.7651,0.17578992,0.05079615
train,2002,0,8.37041,8.187665,0.14992611,8.337591,4317.406,3596.315,4178.0137,0.16701947,0.032286074
train,2003,0,8.432305,8.266168,0.15155914,8.4177265,4593.076,3890.0122,4526.6006,0.15307039,0.014472999
train,2004,0,8.437989,8.341992,0.142247,8.48424,4619.2573,4196.4424,4837.9175,0.0915331,0.04733665
train,2005,0,8.462447,8.349844,0.112272136,8.462116,4733.628,4229.521,4732.0615,0.10649484,0.0003309103
train,2006,0,8.583782,8.468502,0.096645094,8.565147,5344.281,4762.3765,5245.6133,0.10888356,0.018462256
train,2007,0,8.649233,8.591725,0.081133775,8.672859,5705.7686,5386.9004,5842.1787,0.055885226,0.023907412
train,2008,0,8.689605,8.716632,0.05673808,8.77337,5940.8335,6103.587,6459.9043,0.027395722,0.0873734
train,2009,0,8.75186,8.824608,0.0063338466,8.830942,6322.4346,6799.5234,6842.7305,0.075459674,0.0822936
train,2010,0,8.841321,8.995142,-0.05068396,8.944458,6914.1196,8063.8145,7665.293,0.16628218,0.10864338
train,2011,0,8.940034,9.159662,-0.1139008,9.045761,7631.4556,9505.846,8482.505,0.24561371,0.11151861
train,2012,0,9.020668,9.244994,-0.17327325,9.071721,8272.302,10352.612,8705.594,0.25147906,0.05237865
train,2013,0,9.105029,9.322369,-0.21359326,9.108775,9000.443,11185.445,9034.223,0.24276604,0.0037530703
train,2014,0,9.144345,9.356441,-0.23159583,9.124845,9361.3545,11573.121,9180.569,0.23626566,0.019311858
train,2015,0,9.176913,9.350326,-0.2358595,9.114466,9671.254,11502.568,9085.779,0.18935646,0.06053761
train,2016,0,9.199139,9.398306,-0.22747315,9.170833,9888.607,12067.919,9612.625,0.22038609,0.02790913
train,2017,0,9.21305,9.450265,-0.23524202,9.215023,10027.133,12711.532,10046.937,0.26771355,0.0019750122
train,2018,0,9.219603,9.497498,-0.25742257,9.240075,10093.053,13326.336,10301.8125,0.3203474,0.02068351
train,2019,0,9.246667,9.568396,-0.292277,9.276118,10369.944,14305.446,10679.8955,0.37951043,0.029889377
train,2020,0,9.326101,9.593505,-0.33029082,9.263214,11227.274,14669.194,10542.965,0.30656773,0.06095064
train,1993,1,7.588419,7.516125,0.058216304,7.5743413,1975.1882,1837.4337,1947.5769,0.06974248,0.013979087
train,1994,1,7.674059,7.5542617,0.10117318,7.655435,2151.7976,1908.8605,2112.094,0.112899624,0.01845137
train,1995,1,7.755848,7.618106,0.1402467,7.7583528,2335.1887,2034.7045,2341.0454,0.12867665,0.0025080154
train,1996,1,7.833785,7.632216,0.16542299,7.797639,2524.4666,2063.618,2434.8462,0.18255287,0.035500713
train,1997,1,7.9634004,7.7037735,0.20026438,7.904038,2873.8286,2216.697,2708.196,0.22866067,0.05763481
train,1998,1,7.993986,7.7187185,0.23354174,7.9522605,2963.0845,2250.0745,2841.9922,0.24063101,0.04086697
train,1999,1,8.048153,7.758562,0.2588226,8.017385,3128.0117,2341.5352,3033.2334,0.25143018,0.030299861
train,2000,1,8.0890465,7.802041,0.2741474,8.076188,3258.5789,2445.5886,3216.9473,0.24949227,0.012775997
train,2001,1,8.125274,7.928427,0.27543342,8.20386,3378.7927,2775.0588,3655.0325,0.17868331,0.081756935
