split,year,province_idx,true_log_co2,stirpat_log_pred,residual_pred,hybrid_log_pred,true_co2,stirpat_co2_pred,hybrid_co2_pred,stirpat_abs_pct_err,hybrid_abs_pct_err
train,1993,0,4.3545527,4.3873353,-0.003290955,4.384044,77.832,80.42583,80.16157,0.033325963,0.029930709
train,1994,0,4.3764987,4.39576,-0.0012977775,4.394462,79.55898,81.10625,81.00105,0.019448012,0.018125797
train,1995,0,4.650889,4.6480613,0.00034925248,4.6484103,104.67799,104.38241,104.41885,0.002823761,0.002475592
train,1996,0,4.7328506,4.721803,0.004543205,4.7263465,113.61897,112.370705,112.88239,0.010986441,0.006482895
train,1997,0,4.754331,4.745323,0.0020362698,4.7473593,116.08598,115.044975,115.27946,0.00896756,0.006947662
train,1998,0,4.7645473,4.759629,0.0011649225,4.7607937,117.27803,116.70258,116.83862,0.004906691,0.003746715
train,1999,0,4.792803,4.783729,0.002073071,4.7858024,120.639015,119.549324,119.79744,0.009032659,0.0069759823
train,2000,0,4.851014,4.848434,0.0030398658,4.851474,127.87,127.540504,127.928795,0.0025768224,0.00045978033
train,2001,0,4.919813,4.9181643,0.005863077,4.9240274,136.977,136.75134,137.5555,0.0016474461,0.0042232727
train,2002,0,4.976644,4.977664,0.0056162896,4.98328,144.98698,145.13495,145.95235,0.0010205363,0.0066582705
train,2003,0,5.096079,5.0944614,0.005907391,5.100369,163.38,163.11598,164.08244,0.0016160045,0.0042994143
train,2004,0,5.1047263,5.0963473,0.0066229533,5.10297,164.79897,163.42387,164.5098,0.008344054,0.0017546791
train,2005,0,5.180502,5.170014,0.007247527,5.1772614,177.77202,175.91728,177.19687,0.01043323,0.003235321
train,2006,0,5.3120675,5.3010345,0.0111395,5.312174,202.76901,200.54413,202.79059,0.010972505,0.000106406434
train,2007,0,5.44978,5.4311094,0.010763365,5.4418726,232.70695,228.40251,230.87411,0.01849727,0.007876172
train,2008,0,5.5813246,5.553722,0.012190874,5.5659127,265.42297,258.19678,261.36365,0.027225211,0.015293801
train,2009,0,5.684895,5.657731,0.012697442,5.6704283,294.38696,286.49783,290.15878,0.026798502,0.01436266
train,2010,0,5.7196198,5.702049,0.012885994,5.714935,304.789,299.48035,303.3644,0.017417476,0.004674024
train,2011,0,5.8174176,5.799158,0.012161533,5.81132,336.103,330.02164,334.05975,0.018093739,0.006079218
train,2012,0,5.8739386,5.860001,0.010456772,5.8704576,355.64697,350.72455,354.41116,0.01384076,0.0034748204
train,2013,0,5.9350634,5.9251847,0.007090564,5.9322753,378.06393,374.34756,377.01135,0.009830003,0.002784137
train,2014,0,5.958931,5.9534125,0.0047237696,5.958136,387.19595,385.06512,386.8883,0.005503231,0.000794553
train,2015,0,5.9695306,5.969324,0.0042889183,5.9736133,391.32193,391.24115,392.92282,0.00020642858,0.0040909825
train,2016,0,5.9852905,5.9886775,0.0028221318,5.9914994,397.538,398.88672,400.01398,0.003392693,0.006228292
train,2017,0,6.0006075,6.0067854,0.0020537646,6.008839,403.67395,406.17554,407.01056,0.0061970484,0.008265603
train,2018,0,6.031541,6.037078,0.001565746,6.038644,416.35608,418.66785,419.324,0.005552381,0.007128336
train,2019,0,6.048393,6.048349,0.0017000688,6.050049,423.43195,423.41336,424.13376,4.3891836e-05,0.0016574393
train,2020,0,6.056756,6.0625787,0.0016726917,6.0642514,426.98807,429.48148,430.2005,0.0058395267,0.0075234724
train,1993,1,4.1029077,4.1390247,-0.01725257,4.1217723,60.51599,62.741604,61.668434,0.036777265,0.01904361
train,1994,1,4.1281824,4.163535,-0.013995864,4.1495395,62.06501,64.29842,63.404797,0.03598507,0.021586826
train,1995,1,4.2040954,4.2194014,-0.012216726,4.207185,66.96,67.99277,67.16718,0.01542366,0.0030941435
train,1996,1,4.285516,4.29629,-0.009348972,4.286941,72.64,73.426865,72.74361,0.010832396,0.0014263103
train,1997,1,4.238373,4.2699065,-0.007388857,4.2625175,69.295006,71.51495,70.98847,0.03203619,0.024438502
train,1998,1,4.246078,4.279516,-0.007838019,4.271678,69.831,72.205505,71.64175,0.03400358,0.025930392
train,1999,1,4.2621446,4.296081,-0.007874545,4.2882066,70.962006,73.41154,72.835724,0.034518916,0.026404528
train,2000,1,4.280534,4.3049374,-0.008087279,4.29685,72.27901,74.064575,73.468025,0.024703829,0.016450396
train,2001,1,4.2950926,4.304374,-0.0066265287,4.2977476,73.339005,74.02287,73.53397,0.009324757,0.002658465
train,2002,1,4.30443,4.3152504,-0.005495596,4.309755,74.02701,74.83236,74.42224,0.010879154,0.00533904
train,2003,1,4.397863,4.4040093,-0.0031670695,4.400842,81.276985,81.77809,81.51949,0.006165414,0.0029837221
train,2004,1,4.4990873,4.497613,-0.0007730508,4.49684,89.93501,89.80251,89.73312,0.0014732827,0.0022448325
train,2005,1,4.5128136,4.5120153,0.0018638829,4.5138793,91.177986,91.10524,91.275215,0.00079784915,0.0010663649
train,2006,1,4.563608,4.558204,0.0024080998,4.560612,95.92898,95.41198,95.64201,0.005389386,0.0029914258
train,2007,1,4.6208763,4.608464,0.0038967757,4.6123605,101.58301,100.3299,100.72162,0.012335775,0.008479658
train,2008,1,4.6092715,4.5935006,0.00654696,4.6000476,100.41097,98.83983,99.489044,0.015647136,0.009181551
train,2009,1,4.6039896,4.588806,0.008782008,4.597588,99.88202,98.376915,99.24466,0.015068819,0.0063811247
train,2010,1,4.6546364,4.634593,0.009594115,4.644187,105.07101,102.98599,103.9788,0.01984386,0.01039496
train,2011,1,4.5869656,4.565603,0.011282741,4.5768857,98.196,96.12051,97.211174,0.021136226,0.010029178
train,2012,1,4.6102076,4.5843043,0.0129452115,4.5972495,100.505,97.935036,99.21105,0.025570486,0.0128744375
train,2013,1,4.5748963,4.5434046,0.013480189,4.556885,97.01798,94.010315,95.28618,0.031001134,0.01785034
train,2014,1,4.5475307,4.5158863,0.0144582195,4.5303445,94.39902,91.45859,92.79052,0.031148944,0.017039347
train,2015,1,4.608186,4.56824,0.014859836,4.5831,100.302025,96.37435,97.81714,0.039158463,0.024774037
train,2016,1,4.503115,4.468273,0.01572514,4.4839983,90.29799,87.20601,88.58817,0.03424196,0.018935261
train,2017,1,4.4473343,4.417313,0.016115006,4.4334283,85.398994,82.873314,84.21965,0.029575061,0.013809813
train,2018,1,4.4891305,4.456541,0.016195994,4.472737,89.04399,86.188866,87.59613,0.03206421,0.016260061
train,2019,1,4.483861,4.4465203,0.016202446,4.462723,88.576004,85.329506,86.72331,0.036652118,0.020916406
train,2020,1,4.361569,4.3265004,0.015757639,4.342258,78.38001,75.67898,76.880936,0.034460757,0.019125754
train,1993,2,3.720814,3.7238555,0.00024062488,3.724096,41.297997,41.423794,41.433765,0.0030460865,0.003287542
train,1994,2,3.7404516,3.7466486,5.5478886e-05,3.746704,42.117004,42.378815,42.38117,0.006216261,0.006272145
train,1995,2,3.8830473,3.8713226,-0.0014218425,3.8699007,48.572002,48.005833,47.937622,0.011656298,0.013060617
train,1996,2,3.9463472,3.9362514,-0.0013112519,3.93494,51.746006,51.226215,51.159084,0.0100450395,0.011342357
train,1997,2,4.0634727,4.0526595,-0.0020347505,4.050625,58.17599,57.55031,57.433334,0.010755001,0.012765691
train,1998,2,4.1641817,4.1557684,-0.0035356262,4.1522326,64.34001,63.800972,63.575783,0.008377984,0.011877972
train,1999,2,4.2483525,4.2423253,-0.0038537513,4.2384715,69.99001,69.569435,69.30184,0.0060091144,0.009832422
train,2000,2,4.2987266,4.3047013,-0.002650633,4.3020506,73.606,74.047104,73.85108,0.0059927325,0.0033296067
train,2001,2,4.212098,4.215495,-0.0026058615,4.212889,67.49801,67.72769,67.55143,0.0034028103,0.0007914459
train,2002,2,4.2898154,4.293442,-0.0018684175,4.2915735,72.953,73.21804,73.08137,0.0036329902,0.0017595515
train,2003,2,4.2417583,4.245286,-0.0024702065,4.242816,69.53001,69.77572,69.60358,0.0035339028,0.0010581079
train,2004,2,4.270718,4.267671,-0.002496353,4.265175,71.57301,71.35526,71.17736,0.0030423554,0.00552796
train,2005,2,4.476723,4.4784975,-0.001988736,4.4765086,87.946014,88.102196,87.92715,0.0017758773,0.00021453494
train,2006,2,4.5884614,4.5890684,-0.002203627,4.586865,98.343,98.40271,98.18613,0.00060713664,0.0015951883
train,2007,2,4.665164,4.6621957,-0.0010294751,4.661166,106.183,105.86828,105.759346,0.002963941,0.0039898353
train,2008,2,4.8833623,4.875085,0.00025872653,4.875344,132.07399,130.98528,131.0192,0.008243217,0.007986389
train,2009,2,4.913199,4.9112897,-0.0007739696,4.910516,136.074,135.81445,135.7094,0.0019074327,0.0026794889
