year,split,true_co2,stirpat_co2_pred,hybrid_co2_pred
1993,train,2525.8450000000003,2536.9884746862767,2540.6208021261764
1994,train,2612.9139999999998,2632.3216847616927,2634.1384901087995
1995,train,2891.812,2916.629398906774,2914.7336872041283
1996,train,3007.139,3033.9545001968218,3029.688769462287
1997,train,3036.334,3024.7338952020973,3020.882387323823
1998,train,3049.416,3039.328996787502,3041.063364976918
1999,train,3095.0009999999997,3087.071141099476,3089.774925296992
2000,train,3249.583,3239.8603989531603,3241.312777221525
2001,train,3399.643,3393.80117598105,3393.9872320172763
2002,train,3694.849,3682.9864535862853,3681.8337295718657
2003,train,4222.036,4204.963032023416,4203.956887998517
2004,train,4780.082,4762.3743828053875,4759.91711951704
2005,train,5544.504,5503.31609499355,5500.517213135587
2006,train,6158.827,6113.277576829333,6110.429608705827
2007,train,6755.611,6716.682815471587,6716.377956984118
2008,train,7149.359,7127.163170408109,7127.87462440675
2009,train,7509.528,7475.564402025868,7475.527283717605
2010,train,8192.231,8165.912828263764,8165.878152869697
2011,train,9105.687,9088.959036910315,9084.409292257245
2012,train,9326.903,9312.78568893951,9307.525903959111
2013,train,9391.12,9401.24347544534,9397.739904687645
2014,train,9281.616,9286.97600757511,9285.125198379757
2015,train,9182.768,9182.895278596096,9179.32585873933
2016,train,9245.982,9247.510100051448,9239.673430423454
2017,train,9455.126,9463.938161011678,9452.953646224985
2018,train,9780.265,9794.820450025336,9785.664805818844
2019,train,10081.49,10082.343004436188,10068.675920307493
2020,train,10157.699,10147.995797137655,10133.67577494201
2021,valid,10633.348,10658.592036906031,10641.053802670054
2022,valid,10605.248,10648.343719647808,10628.091058398295
2023,valid,11169.962,11210.472085097952,11187.713430702837
