level,scenario,province,province_id,year,energy_pred,co2_pred
national,baseline,ALL,-1,2024,549970.3052593798,762102.2192669597
national,baseline,ALL,-1,2025,560915.9493484083,756502.8007524775
national,baseline,ALL,-1,2026,573693.5950560123,759721.8808517958
national,baseline,ALL,-1,2027,586258.7987915499,761751.0548688739
national,baseline,ALL,-1,2028,598918.4655175454,763246.7862795338
national,baseline,ALL,-1,2029,611787.0793959197,764302.9917694967
national,baseline,ALL,-1,2030,624994.9188676904,765089.2270962403
national,baseline,ALL,-1,2031,639821.9422308347,769790.2948953187
national,baseline,ALL,-1,2032,655187.8855395607,774469.3163872701
national,baseline,ALL,-1,2033,671291.0967519481,779903.5220043082
national,baseline,ALL,-1,2034,688072.2905672212,785444.7992820258
national,baseline,ALL,-1,2035,705470.2129106856,791008.9205083774
national,extensive,ALL,-1,2024,553231.8161344075,771426.7402560943
national,extensive,ALL,-1,2025,567777.0890460728,775610.7100445384
national,extensive,ALL,-1,2026,584425.6138557624,789138.522771617
national,extensive,ALL,-1,2027,601115.571460249,801893.7359616482
national,extensive,ALL,-1,2028,618178.3015186731,814565.2375487557
national,extensive,ALL,-1,2029,635734.8549158961,827248.4096021338
national,extensive,ALL,-1,2030,653926.0429612467,840094.1076236954
national,extensive,ALL,-1,2031,674107.7125068095,857610.5189195899
national,extensive,ALL,-1,2032,695164.4812335472,875678.1075618501
national,extensive,ALL,-1,2033,717146.7384678746,894342.0484458003
national,extensive,ALL,-1,2034,740130.7010836655,913707.4558606128
national,extensive,ALL,-1,2035,764074.380229565,933700.7319886643
national,low_carbon,ALL,-1,2024,545340.9454385203,748308.0551465299
national,low_carbon,ALL,-1,2025,551263.1336594285,728577.2152145931
national,low_carbon,ALL,-1,2026,558699.9610225448,717219.019134641
national,low_carbon,ALL,-1,2027,565620.3912920692,704382.7491987505
national,low_carbon,ALL,-1,2028,572328.9752035302,690803.2609112076
national,low_carbon,ALL,-1,2029,579002.8121341909,676914.9186773582
national,low_carbon,ALL,-1,2030,585862.1890448313,663370.4908079465
national,low_carbon,ALL,-1,2031,593897.4009619913,652885.6690612125
national,low_carbon,ALL,-1,2032,602123.7962492616,642043.3303094673
national,low_carbon,ALL,-1,2033,610778.6522512682,631807.1957978606
national,low_carbon,ALL,-1,2034,620060.4641509791,622800.3027066771
national,low_carbon,ALL,-1,2035,629663.2523143903,613594.8901265156
province,baseline,Anhui,0,2024,17610.092277904583,25102.69426275179
province,baseline,Anhui,0,2025,17828.373009919083,24749.383882253893
province,baseline,Anhui,0,2026,18146.35545908227,24742.629081521645
province,baseline,Anhui,0,2027,18363.74924537338,24585.498509757654
province,baseline,Anhui,0,2028,18626.378968155583,24477.07446261963
province,baseline,Anhui,0,2029,18894.7070327943,24363.025056928167
province,baseline,Anhui,0,2030,19164.856870803844,24238.025336882263
province,baseline,Anhui,0,2031,19481.589358618738,24239.812595286607
province,baseline,Anhui,0,2032,19805.947707086405,24237.965140730386
province,baseline,Anhui,0,2033,20141.042267901026,24235.75736166708
province,baseline,Anhui,0,2034,20490.38134611819,24236.679682942
province,baseline,Anhui,0,2035,20851.891742180465,24237.447540262903
province,baseline,Beijing,1,2024,7703.653278155199,7453.078426361688
province,baseline,Beijing,1,2025,7888.574011538716,7652.731237790089
province,baseline,Beijing,1,2026,8068.789729076346,7842.905928027274
province,baseline,Beijing,1,2027,8275.894914526525,8059.95400643675
province,baseline,Beijing,1,2028,8419.556870332168,8215.881423026083
province,baseline,Beijing,1,2029,8557.412492562655,8366.678412073441
province,baseline,Beijing,1,2030,8690.532350975116,8513.360586951976
province,baseline,Beijing,1,2031,8824.22994866495,8651.480150575666
province,baseline,Beijing,1,2032,8959.624974917098,8791.481877641987
province,baseline,Beijing,1,2033,9098.695124963368,8935.31207514309
province,baseline,Beijing,1,2034,9243.010642141586,9084.522992387989
province,baseline,Beijing,1,2035,9390.775142090872,9237.360338351218
province,baseline,Chongqing,2,2024,9924.633315675881,14728.260474824754
province,baseline,Chongqing,2,2025,10144.113731345611,14675.900606870244
province,baseline,Chongqing,2,2026,10401.986927538022,14792.067941591251
province,baseline,Chongqing,2,2027,10597.753753148776,14808.71337390188
province,baseline,Chongqing,2,2028,10763.931785109933,14775.0737527831
province,baseline,Chongqing,2,2029,10913.18690985645,14710.414393476058
