scenario,province,peak_year,peak_co2,peaked_within_horizon,note
baseline,Anhui,2030,476.84995699694656,True,已达峰
baseline,Beijing,2035,170.53099248336108,False,未在预测期内达峰
baseline,Chongqing,2030,275.65475293413954,True,已达峰
baseline,Fujian,2030,336.0773056530068,True,已达峰
baseline,Gansu,2030,195.73682321033664,True,已达峰
baseline,Guangdong,2029,699.3361855367816,True,已达峰
baseline,Guangxi,2030,357.409949820833,True,已达峰
baseline,Guizhou,2030,347.0877273193932,True,已达峰
baseline,Hainan,2029,63.76080428247217,True,已达峰
baseline,Hebei,2030,1291.5819953375951,True,已达峰
baseline,Heilongjiang,2029,338.9015386996358,True,已达峰
baseline,Henan,2030,551.2356623088077,True,已达峰
baseline,Hubei,2030,592.3933972584919,True,已达峰
baseline,Hunan,2030,549.8220867474099,True,已达峰
baseline,InnerMongolia,2030,703.1344578409174,True,已达峰
baseline,Jiangsu,2030,844.7019443646416,True,已达峰
baseline,Jiangxi,2030,342.7016403012451,True,已达峰
baseline,Jilin,2030,176.34119653684064,True,已达峰
baseline,Liaoning,2030,886.2976574675557,True,已达峰
baseline,Ningxia,2030,221.8713629766455,True,已达峰
baseline,Qinghai,2029,104.60868929171102,True,已达峰
baseline,Shaanxi,2030,374.6908775869619,True,已达峰
baseline,Shandong,2029,887.8713915093723,True,已达峰
baseline,Shanghai,2030,312.01033004288945,True,已达峰
baseline,Shanxi,2030,574.7992114568386,True,已达峰
baseline,Sichuan,2030,591.7241213052953,True,已达峰
baseline,Tianjin,2030,239.94876278597243,True,已达峰
baseline,Xinjiang,2029,467.21721872025296,True,已达峰
baseline,Yunnan,2030,387.90295615815467,True,已达峰
baseline,Zhejiang,2029,406.44365099341655,True,已达峰
extensive,Anhui,2035,548.9096618490422,False,未在预测期内达峰
extensive,Beijing,2035,199.70804480315093,False,未在预测期内达峰
extensive,Chongqing,2035,357.5752803012287,False,未在预测期内达峰
extensive,Fujian,2035,380.0477281728884,False,未在预测期内达峰
extensive,Gansu,2035,223.51068275412092,False,未在预测期内达峰
extensive,Guangdong,2035,779.312198574078,False,未在预测期内达峰
extensive,Guangxi,2035,329.50217395742345,False,未在预测期内达峰
extensive,Guizhou,2035,384.54686283802204,False,未在预测期内达峰
extensive,Hainan,2035,64.21834972378296,False,未在预测期内达峰
extensive,Hebei,2035,1407.9125614312345,False,未在预测期内达峰
extensive,Heilongjiang,2035,280.02060937801485,False,未在预测期内达峰
extensive,Henan,2035,608.1828453587856,False,未在预测期内达峰
extensive,Hubei,2035,744.9919642893403,False,未在预测期内达峰
extensive,Hunan,2035,645.8356832717564,False,未在预测期内达峰
extensive,InnerMongolia,2035,719.4215194667817,False,未在预测期内达峰
extensive,Jiangsu,2035,873.0294424885257,False,未在预测期内达峰
extensive,Jiangxi,2035,355.78592452495207,False,未在预测期内达峰
extensive,Jilin,2035,194.65018223856256,False,未在预测期内达峰
extensive,Liaoning,2035,824.201561765866,False,未在预测期内达峰
extensive,Ningxia,2035,208.75900510851926,False,未在预测期内达峰
extensive,Qinghai,2035,103.55452034640314,False,未在预测期内达峰
extensive,Shaanxi,2035,387.5512567866518,False,未在预测期内达峰
extensive,Shandong,2035,901.7897226084002,False,未在预测期内达峰
extensive,Shanghai,2035,356.29143052083384,False,未在预测期内达峰
extensive,Shanxi,2035,530.3382899200186,False,未在预测期内达峰
extensive,Sichuan,2035,664.9632448000077,False,未在预测期内达峰
extensive,Tianjin,2035,225.89127070566545,False,未在预测期内达峰
extensive,Xinjiang,2035,436.8484356574601,False,未在预测期内达峰
extensive,Yunnan,2035,394.43239072270933,False,未在预测期内达峰
extensive,Zhejiang,2035,410.63801510513724,False,未在预测期内达峰
green_growth,Anhui,2030,454.17581220717824,True,已达峰
green_growth,Beijing,2035,166.83727509349217,False,未在预测期内达峰
green_growth,Chongqing,2030,263.06180882145463,True,已达峰
green_growth,Fujian,2028,318.7782344675614,True,已达峰
green_growth,Gansu,2028,185.34599890001581,True,已达峰
green_growth,Guangdong,2027,664.8968400918031,True,已达峰
green_growth,Guangxi,2028,341.9972310977828,True,已达峰
green_growth,Guizhou,2030,333.56618406626126,True,已达峰
green_growth,Hainan,2027,61.026937671956766,True,已达峰
green_growth,Hebei,2030,1243.088604229326,True,已达峰
green_growth,Heilongjiang,2027,326.0928761802273,True,已达峰
green_growth,Henan,2029,524.0371575316728,True,已达峰
green_growth,Hubei,2030,568.08795100259,True,已达峰
green_growth,Hunan,2030,528.1247117472144,True,已达峰
green_growth,InnerMongolia,2028,670.9219497949441,True,已达峰
green_growth,Jiangsu,2027,803.905578197332,True,已达峰
green_growth,Jiangxi,2030,327.7652510005127,True,已达峰
green_growth,Jilin,2029,167.40664887231344,True,已达峰
green_growth,Liaoning,2030,848.801665659993,True,已达峰
green_growth,Ningxia,2027,212.8889842655472,True,已达峰
green_growth,Qinghai,2027,100.20236003598876,True,已达峰
green_growth,Shaanxi,2027,357.4284362668356,True,已达峰
green_growth,Shandong,2027,846.4981284101065,True,已达峰
green_growth,Shanghai,2030,297.0603250489308,True,已达峰
green_growth,Shanxi,2030,551.3523271815741,True,已达峰
green_growth,Sichuan,2030,563.8272085451525,True,已达峰
green_growth,Tianjin,2027,229.43770626045514,True,已达峰
green_growth,Xinjiang,2027,449.5957241435778,True,已达峰
green_growth,Yunnan,2030,371.91778417361917,True,已达峰
green_growth,Zhejiang,2027,388.3955294847538,True,已达峰
low_carbon,Anhui,2029,465.2984310453648,True,已达峰
low_carbon,Beijing,2035,162.53412863354492,False,未在预测期内达峰
low_carbon,Chongqing,2029,267.50877856199986,True,已达峰
low_carbon,Fujian,2029,329.1125959869213,True,已达峰
low_carbon,Gansu,2029,191.5082367576082,True,已达峰
low_carbon,Guangdong,2029,685.4356211375394,True,已达峰
low_carbon,Guangxi,2029,350.5346958742461,True,已达峰
low_carbon,Guizhou,2029,337.9504373325255,True,已达峰
low_carbon,Hainan,2029,62.50243270640748,True,已达峰
low_carbon,Hebei,2029,1256.3889361035313,True,已达峰
low_carbon,Heilongjiang,2029,332.447824877117,True,已达峰
low_carbon,Henan,2029,539.1068024236205,True,已达峰
low_carbon,Hubei,2029,574.5121342629388,True,已达峰
low_carbon,Hunan,2029,534.315267720281,True,已达峰
low_carbon,InnerMongolia,2029,688.8732779503695,True,已达峰
low_carbon,Jiangsu,2029,827.8973144708921,True,已达峰
low_carbon,Jiangxi,2029,335.07152687086983,True,已达峰
low_carbon,Jilin,2029,172.59064241340258,True,已达峰
low_carbon,Liaoning,2029,866.7150681576045,True,已达峰
low_carbon,Ningxia,2029,217.71234865630976,True,已达峰
low_carbon,Qinghai,2029,102.56241392302097,True,已达峰
low_carbon,Shaanxi,2029,367.2782407224557,True,已达峰
low_carbon,Shandong,2029,869.8559059482907,True,已达峰
low_carbon,Shanghai,2029,304.51116972893914,True,已达峰
low_carbon,Shanxi,2029,562.660709167409,True,已达峰
low_carbon,Sichuan,2029,577.8022623729318,True,已达峰
low_carbon,Tianjin,2029,235.39506782570444,True,已达峰
low_carbon,Xinjiang,2029,457.7648629557943,True,已达峰
low_carbon,Yunnan,2029,379.15704404961355,True,已达峰
low_carbon,Zhejiang,2029,397.8426429069836,True,已达峰
