scenario,year,co2_pred,energy_pred
baseline,2024,11634.919089067205,562519.0041644011
baseline,2025,12052.471898547179,585465.5001613463
baseline,2026,12483.659502109773,608836.5445867011
baseline,2027,12920.101273982158,632634.70256998
baseline,2028,13296.816590907312,653684.5368217502
baseline,2029,13679.84607502314,675213.94383873
baseline,2030,13719.328626375484,693633.0615650234
baseline,2031,12909.093277707103,671190.1498952174
baseline,2032,12293.323465738324,657838.5184963745
baseline,2033,11804.98325607342,650703.9124050963
baseline,2034,11400.688831727064,647896.846346702
baseline,2035,11053.684838831612,648184.0515673419
extensive,2024,11239.863243480284,543445.0963654873
extensive,2025,11387.228734409893,550508.573360583
extensive,2026,11580.277312456123,559692.25369144
extensive,2027,11801.472634772561,570266.2463562806
extensive,2028,12062.937085484453,582777.53521983
extensive,2029,12357.811127085497,596903.6358594499
extensive,2030,12682.524433717428,612477.2984399871
extensive,2031,13020.550971563918,628686.8805303494
extensive,2032,13373.705055187698,645626.6806349754
extensive,2033,13744.45777780175,663425.7746731287
extensive,2034,14133.768464812296,682137.537254919
extensive,2035,14542.420859469365,701798.0720240987
green_growth,2024,11664.42075963119,563945.3268377414
green_growth,2025,12102.413167110459,588393.5112635995
green_growth,2026,12554.546451367534,613344.873100742
green_growth,2027,13012.432971174345,638804.7622138474
green_growth,2028,13041.467978610695,657561.6727196317
green_growth,2029,13057.026955636698,676658.1129033148
green_growth,2030,13058.622721905298,696100.3204740286
green_growth,2031,12215.747168758708,671315.1258372333
green_growth,2032,11568.361657414069,656031.0403835991
green_growth,2033,11049.956696186386,647204.4408595321
green_growth,2034,10622.975010373195,642889.2574105202
green_growth,2035,10259.690801595052,641786.7246508427
low_carbon,2024,11603.818184095007,561015.3492688311
low_carbon,2025,11977.411207438628,582316.1555792522
low_carbon,2026,12361.092987910928,603893.677708906
low_carbon,2027,12746.3980320235,625744.2971079471
low_carbon,2028,13080.315663127478,645270.8710694754
low_carbon,2029,13417.364700957976,665143.2877852486
low_carbon,2030,12542.906496976972,642989.0790742688
low_carbon,2031,11842.31344712056,628882.6482474215
low_carbon,2032,11259.118519582655,620197.8332955036
low_carbon,2033,10753.675081727195,615284.4355956261
low_carbon,2034,10301.768058998738,613051.6746895683
low_carbon,2035,9900.550234898812,612778.0616334844
