scenario,province,province_id,year,stirpat_log_energy_pred,residual_pred,hybrid_log_energy_pred,energy_pred,co2_pred,Population,pGDP,GDP,Energy,EnergyIntensity,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,CarbonIntensity,log_Population,log_pGDP,log_GDP,log_Energy,log_CarbonIntensity,energy_pred_raw
baseline,Anhui,0,2024,9.769537213338845,-0.2231435513142097,9.829733472329037,18578.00201351293,27174.82466869185,6124.0605,8.071088057506943,49427.83156499999,13416.974712916286,0.2735784703680075,33.83437242800366,24.14452518571115,4.631378412288851,37.38972397399634,40.22317741022128,63.681518871389386,0.010110234258436612,8.719980635892721,2.08828830064165,10.80826893653437,9.504275953883939,-4.594207075255132,13345.22023983546
baseline,Anhui,0,2025,9.789952653127378,-0.2231435513142097,9.861067804213318,19169.347620989352,27834.31534574055,6127.122530249999,8.47464246038229,51925.17275482161,13865.683829189042,0.27270301926282986,33.48437242800366,23.99452518571115,4.7313784122888505,37.789723973996345,39.02317741022128,64.43151887138939,0.010069793321402865,8.720480510934372,2.137078464811082,10.857558975745453,9.537172277366588,-4.598215096652671,13770.004205511214
baseline,Anhui,0,2026,9.806412009375066,-0.2231435513142097,9.890562681156533,19743.165921506985,28475.806027171842,6127.122530249999,8.856001371099492,54261.80552878857,14307.034369526149,0.27183036960118884,33.13437242800366,23.89452518571115,4.83137841228885,38.13972397399635,37.82317741022128,65.08151887138939,0.010029514148117253,8.720480510934372,2.181095350227856,10.901575861162227,9.568506609250871,-4.60222311805021,14182.197701479508
baseline,Anhui,0,2027,9.822872322775037,-0.2231435513142097,9.918465301060152,20301.809542061055,29084.413879649735,6127.122530249999,9.254521432798969,56703.58677758406,14735.303411837209,0.270960512418465,32.78437242800366,23.794525185711148,4.93137841228885,38.48972397399635,36.623177410221274,65.7315188713894,0.009989396091524784,8.720480510934372,2.2251122356446307,10.945592746579003,9.598001486194084,-4.606231139447749,14583.490700933942
baseline,Anhui,0,2028,9.844650721850567,-0.2231435513142097,9.941530241937265,20775.51153278539,29561.310103590127,6127.122530249999,9.670974897274922,59255.24818257534,15050.162403363829,0.27009343877872594,32.434372428003655,23.694525185711147,5.031378412288849,38.83972397399635,35.82317741022128,66.3815188713894,0.009949438507158685,8.720480510934372,2.269129121061405,10.989609631995776,9.619144061039984,-4.610239160845287,14923.76719512673
baseline,Anhui,0,2029,9.866430071962405,-0.2231435513142097,9.96443932531381,21256.953095220393,30039.944458652924,6127.122530249999,10.106168767652292,61921.73435079122,15401.327745370785,0.26922913977463403,32.084372428003654,23.594525185711145,5.131378412288849,39.18972397399636,35.02317741022128,67.03151887138941,0.00990964075313005,8.720480510934372,2.313146006478179,11.03362651741255,9.642209001917097,-4.614247182242826,15269.60329088301
baseline,Anhui,0,2030,9.886660046030094,-0.2231435513142097,9.973502673232236,21450.487968942136,29620.164696240714,6127.122530249999,10.560946362196646,64708.21239657683,15651.343373155083,0.26384455697914133,30.884372428003655,23.494525185711144,5.231378412288849,40.389723973996354,34.22317741022128,67.68151887138941,0.0096618997343018,8.720480510934372,2.357162891894953,11.077643402829326,9.658312030824643,-4.639564990227116,15408.626072343945
baseline,Anhui,0,2031,9.902859353104157,-0.2231435513142097,9.98475729241501,21693.26868187614,29236.713376708154,6124.058968984874,10.983384216684511,67262.89262199368,15608.938211284414,0.2585676658395585,29.684372428003655,23.394525185711142,5.2813784122888485,41.639723973996354,33.423177410221285,68.18151887138941,0.009420352240944254,8.71998038589269,2.3963836050482348,11.116363990940924,9.655598991419245,-4.664882798211406,15583.023840291862
baseline,Anhui,0,2032,9.919094834405751,-0.2231435513142097,9.997547835374553,21972.51944425942,28885.119008746304,6120.996939500382,11.422719585351892,69918.43162271,15785.603150215655,0.2533963125227673,28.484372428003656,23.29452518571114,5.331378412288848,42.889723973996354,32.62317741022129,68.68151887138941,0.009184843434920648,8.719480260851007,2.435604318201516,11.155084579052524,9.666853610602017,-4.690200606195696,15783.61930386411
baseline,Anhui,0,2033,9.93536576645033,-0.2231435513142097,10.01141475139067,22279.332887733348,28550.342290588815,6117.936441030632,11.879628368765967,72678.81130317459,15988.806354814342,0.24832838627231194,27.284372428003657,23.19452518571114,5.381378412288848,44.13972397399636,31.823177410221287,69.18151887138941,0.008955222349047632,8.718980135809325,2.4748250313547975,11.193805167164122,9.67964415356156,-4.715518414179986,16004.013992847551
baseline,Anhui,0,2034,9.95167144022303,-0.2231435513142097,10.026037439869516,22607.510201747027,28221.905531518587,6114.877472810117,12.354813503516606,75548.17077342393,16212.066174754567,0.2433618185468657,26.084372428003658,23.094525185711138,5.431378412288848,45.389723973996354,31.023177410221287,69.68151887138941,0.00873134179032144,8.718480010767642,2.5140457445080786,11.232525755275722,9.693511069577678,-4.740836222164276,16239.755087613534
baseline,Anhui,0,2035,9.96801116088929,-0.2231435513142097,10.041193000936868,22952.749240691883,27892.457357277162,6111.820034073712,12.84900604365727,78530.81255555872,16450.871903752508,0.2384945821759284,24.88437242800366,22.994525185711137,5.481378412288848,46.639723973996354,30.223177410221286,70.18151887138941,0.008513058245563403,8.71797988572596,2.5532664576613597,11.27124634338732,9.708133758056524,-4.766154030148566,16487.752208442624
baseline,Beijing,1,2024,9.168474690243555,-0.2231435513142097,8.902973151229855,7353.805043401182,7157.137127567818,2187.093,21.019549405306492,45971.709367499985,5016.565963409456,0.10998026165298881,0.3162805121723722,37.87834159784871,12.327206392186724,49.4781714977922,13.968855157578023,88.30079241758904,0.002016344254090981,7.690328543778135,3.0454529287445635,10.735781472522698,8.520500907568453,-6.20646918239318,5282.492048047987
baseline,Beijing,1,2025,9.189069570196214,-0.2231435513142097,8.981144234171373,7951.7255480958875,7660.956738847659,2188.1865464999996,22.07052687557182,48294.429983292925,5488.509237921858,0.10962832481569924,0.0,37.72834159784871,12.427206392186724,49.84445200996456,12.768855157578024,89.05079241758904,0.002008278877074617,7.690828418819786,3.0942430929139957,10.785071511733781,8.610411956267406,-6.2104772037907185,5711.9989893897155
baseline,Beijing,1,2026,9.205707792399506,-0.2231435513142097,9.049447975773342,8513.83678295046,8199.107854523689,2188.1865464999996,23.063700584972548,50467.6793325411,5934.766949975914,0.109277514176289,0.0,37.62834159784871,12.527206392186724,49.84445200996457,11.568855157578025,89.70079241758904,0.0020002457615663186,7.690828418819786,3.13825997833077,10.829088397150555,8.688583039208924,-6.214485225188257,6115.782895913348
baseline,Beijing,1,2027,9.222346399384021,-0.2231435513142097,9.109853151998358,9043.966705484188,8706.023006790481,2188.1865464999996,24.101567111296312,52738.72490250545,6354.298428853967,0.10892782613092489,0.0,37.52834159784871,12.627206392186723,49.84445200996457,10.368855157578025,90.35079241758905,0.0019922447785200533,7.690828418819786,3.182276863747544,10.87310528256733,8.756886780810893,-6.218493246585796,6496.5935216627495
baseline,Beijing,1,2028,9.244302521504626,-0.2231435513142097,9.160617102322606,9514.926949746678,9155.579023659935,2188.1865464999996,25.186137631304643,55111.96752311819,6704.484514355958,0.10857925708730592,0.0,37.42834159784871,12.727206392186723,49.84445200996457,9.568855157578025,91.00079241758905,0.001984275799405973,7.690828418819786,3.226293749164318,10.917122167984104,8.810531911978192,-6.222501267983335,6834.900524714967
baseline,Beijing,1,2029,9.266259025947795,-0.2231435513142097,9.20724629112757,9969.107008865723,9588.618532425395,2188.1865464999996,26.31951382471335,57592.0060616585,7053.6173415058465,0.10823180346462655,0.0,37.328341597848706,12.827206392186723,49.84445200996457,8.768855157578024,91.65079241758906,0.001976338696208349,7.690828418819786,3.2703106345810924,10.961139053400878,8.861295862302438,-6.226509289380874,7161.153741453587
baseline,Beijing,1,2030,9.287592671499674,-0.2231435513142097,9.267455095980122,10587.77270595928,10179.436657624836,2188.1865464999996,27.50389194682545,60183.646334433135,7340.182584989926,0.10606716739533402,0.0,37.228341597848704,12.927206392186722,49.84445200996457,7.968855157578024,92.30079241758907,0.0019269302288031402,7.690828418819786,3.314327519997867,11.005155938817653,8.901118996638402,-6.2518270973651635,7605.562670709789
baseline,Beijing,1,2031,9.30487357662824,-0.2231435513142097,9.313235748522342,11083.754409428364,10642.878612836023,2187.09245322675,28.60404762469847,62559.69669171657,7704.434985429016,0.10394582404742733,0.0,37.1283415978487,12.977206392186723,49.894452009964574,7.168855157578024,92.80079241758907,0.0018787569730830617,7.690328293778103,3.353548233151148,11.043876526929251,8.949551414167129,-6.277144905349454,7961.843451759834
baseline,Beijing,1,2032,9.32216902402325,-0.2231435513142097,9.349668162861354,11495.00834151153,11023.86523744552,2185.9989070001366,29.74820952968641,65029.55351710554,8065.347416632711,0.10186690756647879,0.0,37.0283415978487,13.027206392186724,49.94445200996458,6.368855157578024,93.30079241758907,0.0018317880487559851,7.689828168736422,3.3927689463044297,11.082597115040851,8.99533206670935,-6.302462713333743,8257.26134945175
baseline,Beijing,1,2033,9.339478722839374,-0.2231435513142097,9.379924881916889,11848.124712340084,11348.172282781346,2184.9059075466366,30.938137910873866,67596.92028996086,8364.605746994623,0.09982956941514921,0.0,36.9283415978487,13.077206392186724,49.994452009964576,5.5688551575780245,93.80079241758907,0.0017859933475370855,7.689328043694739,3.431989659457711,11.12131770315245,9.031764481048361,-6.327780521318034,8510.9170297327
baseline,Beijing,1,2034,9.356802388048191,-0.2231435513142097,9.4060500650188,12161.73790368199,11633.836311893037,2183.8134545928633,32.17566342730882,70265.64670300852,8621.558951119225,0.09783297802684622,0.0,36.8283415978487,13.127206392186725,50.04445200996457,4.768855157578025,94.30079241758907,0.0017413435138486583,7.688827918653057,3.471210372610992,11.16003829126405,9.062021200103898,-6.353098329302323,8736.196212366613
baseline,Beijing,1,2035,9.374139740321844,-0.2231435513142097,9.429388637398018,12448.913604441861,11893.483461570693,2182.721547865567,33.46268996440117,73039.73443484331,8849.766763127378,0.0958763184663093,0.0,36.7283415978487,13.177206392186726,50.09445200996458,3.968855157578025,94.80079241758907,0.0016978099260024418,7.688327793611375,3.5104310857642735,11.198758879375648,9.088146383205807,-6.378416137286614,8942.484432778152
baseline,Chongqing,2,2024,9.303005848283286,-0.2231435513142097,9.224494391789799,10142.546622230184,15429.658831818031,3192.5955,9.919489188342212,31668.916544999996,7168.031006204036,0.22812114538115957,24.49264471135521,22.51815775925792,25.611691780080665,27.37750574930621,35.38256537371796,73.78166211987535,0.005546328841828708,8.068589501319895,2.2945014268603017,10.363090928180196,8.877386280287714,-5.19461904003233,7285.741403623992
baseline,Chongqing,2,2025,9.32347114723544,-0.2231435513142097,9.274185785380679,10659.27607904645,16101.48186084665,3194.1917977499998,10.415463647759323,33268.988553436124,7569.885318365326,0.22739115771593987,24.14264471135521,22.368157759257922,25.711691780080667,27.7775057493062,34.18256537371796,74.53166211987535,0.005524143526461393,8.069089376361546,2.3432915910297334,10.412380967391279,8.931933196827352,-5.198627061429869,7656.926012206111
baseline,Chongqing,2,2026,9.339980203097426,-0.2231435513142097,9.319284488118699,11151.000325088857,16735.98489174716,3194.1917977499998,10.884159511908491,34766.09303834074,7955.546126682149,0.22666350601124888,23.79264471135521,22.26815775925792,25.81169178008067,28.12750574930621,32.982565373717954,75.18166211987536,0.005502046952355548,8.069089376361546,2.387308476446508,10.456397852808053,8.98162459041823,-5.202635082827408,8010.148514600603
baseline,Chongqing,2,2027,9.356490057072929,-0.2231435513142097,9.360530427419825,11620.550766354016,17327.874378495904,3194.1917977499998,11.373946689944372,36330.56722506607,8322.544306670026,0.2259381827920129,23.442644711355207,22.16815775925792,25.91169178008067,28.477505749306204,31.782565373717954,75.83166211987536,0.005480038764546126,8.069089376361546,2.431325361863282,10.500414738224828,9.02672329315625,-5.206643104224947,8347.4428074873
baseline,Chongqing,2,2028,9.37831783819415,-0.2231435513142097,9.395164571939102,12030.069328733414,17821.712136746453,3194.1917977499998,11.885774290991868,37965.442750194044,8614.560977326893,0.22521518060707846,23.092644711355206,22.068157759257918,26.01169178008067,28.827505749306212,30.982565373717954,76.48166211987537,0.0054581186094879415,8.069089376361546,2.4753422472800564,10.544431623641602,9.061209187399657,-5.210651125622485,8641.614129208481
baseline,Chongqing,2,2029,9.400146412329132,-0.2231435513142097,9.42812526706073,12433.19594696426,18298.18988900313,3194.1917977499998,12.420634134086502,39673.88767395278,8918.145781343153,0.22449449202913582,22.742644711355204,21.968157759257917,26.111691780080672,29.177505749306206,30.182565373717953,77.13166211987537,0.00543628613504999,8.069089376361546,2.5193591326968305,10.588448509058376,9.095843331918935,-5.214659147020024,8931.193896770012
baseline,Chongqing,2,2030,9.420683052061008,-0.2231435513142097,9.459264290173998,12826.444434566405,18462.391082544946,3194.1917977499998,12.979562670120393,41459.212619280646,9154.473744189261,0.2200046021885531,21.542644711355205,21.868157759257915,26.211691780080674,30.37750574930621,29.382565373717952,77.78166211987538,0.005300378981673739,8.069089376361546,2.5633760181136047,10.632465394475151,9.121997972571563,-5.239976955004314,9213.67786206486
baseline,Chongqing,2,2031,9.437182891485973,-0.2231435513142097,9.485720712001138,13170.314994131286,18521.026016913143,3192.594701851125,13.498745176925208,43096.02233348985,9333.455674271703,0.21560451014478205,20.342644711355206,21.768157759257914,26.261691780080675,31.62750574930621,28.58256537371795,78.28166211987538,0.005167869507131896,8.068589251319864,2.6025967312668863,10.67118598258675,9.141360608361005,-5.265294762988604,9460.691956909446
baseline,Chongqing,2,2032,9.453712894491455,-0.2231435513142097,9.509028463266235,13480.890771653383,18511.15767291473,3190.9984045001997,14.038694984002218,44797.45329521604,9583.680952349268,0.2112924199418864,19.142644711355207,21.668157759257912,26.311691780080675,32.87750574930621,27.78256537371795,78.78166211987538,0.005038672769453598,8.068089126278181,2.6418174444201674,10.70990657069835,9.167817030188147,-5.290612570972894,9683.78926033184
baseline,Chongqing,2,2033,9.47027245780584,-0.2231435513142097,9.530207850132957,13769.452769183219,18451.211880619067,3189.40290529795,14.600242783362306,46566.05675131117,9809.678520716152,0.20706657154304867,17.942644711355207,21.56815775925791,26.361691780080676,34.12750574930621,26.98256537371795,79.28166211987538,0.004912705950217258,8.067589001236499,2.6810381575734485,10.748627158809947,9.191124781453242,-5.315930378957184,9891.073305574246
baseline,Chongqing,2,2034,9.486860990222953,-0.2231435513142097,9.549944905573316,14043.920908417143,18353.726981185813,3187.8082038453013,15.1842524946968,48404.48467185294,10019.65725854671,0.20292524011218768,16.742644711355208,21.46815775925791,26.411691780080677,35.37750574930621,26.18256537371795,79.78166211987538,0.004789888301461827,8.067088876194816,2.72025887072673,10.787347746921547,9.212304168319966,-5.341248186941474,10088.233245821337
