scenario,year,co2_pred,energy_pred
baseline,2024,790898.2677734013,555072.8843611153
baseline,2025,797910.6726908106,570158.3737696845
baseline,2026,804972.8066138241,581992.6520542966
baseline,2027,812064.682256108,594147.4389242809
baseline,2028,819190.0380906856,606617.4567087428
baseline,2029,819048.8110513921,619404.9999509805
baseline,2030,818121.4699407734,632799.0081968029
baseline,2031,816827.4448941651,644647.389363885
baseline,2032,808827.0650853926,651916.1808184509
baseline,2033,802925.6991132871,661861.5223634542
baseline,2034,799428.0899990738,674308.7986765271
baseline,2035,798063.3358532256,689182.8250689905
deep_decarb,2024,774602.7143838677,543562.0096351218
deep_decarb,2025,768128.8728245574,548690.4356916924
deep_decarb,2026,763193.6549889949,554722.537410353
deep_decarb,2027,758436.6295822087,561697.7044382442
deep_decarb,2028,750835.3089904287,569274.3517926027
deep_decarb,2029,734703.5300843765,577302.2092134794
deep_decarb,2030,709403.1581704098,585757.3148477238
deep_decarb,2031,678662.4115041221,594247.8309549676
deep_decarb,2032,645153.3873586266,603016.4737417058
deep_decarb,2033,609285.235764544,612275.647274673
deep_decarb,2034,574893.908774867,622199.4809957243
deep_decarb,2035,540079.7750479145,632969.2289678401
extensive,2024,775083.9615789374,543897.6984166203
extensive,2025,771490.8916853409,549630.4961406144
extensive,2026,773972.2902514436,557046.4470369321
extensive,2027,778464.1318129083,566098.0948208711
extensive,2028,784545.3545798259,576505.1331381164
extensive,2029,790927.629930616,588171.3528918206
extensive,2030,798338.4073900015,601130.5811936323
extensive,2031,809931.7995098447,615490.5687516578
extensive,2032,822758.8502863817,631263.9236846535
extensive,2033,836905.7342037335,648581.8361282467
extensive,2034,852662.1525183617,667569.9423292115
extensive,2035,870130.7571727529,688375.1980077814
green_growth,2024,789483.6025604554,554071.5194610254
green_growth,2025,792842.1049254336,568077.6489303462
green_growth,2026,793215.7770612184,578882.1165712756
green_growth,2027,793508.3090963452,590049.6949358594
green_growth,2028,793536.9517180478,601436.1989042857
green_growth,2029,793349.6402190491,613097.5766534898
green_growth,2030,793358.3693962275,625406.4941795208
green_growth,2031,792396.2160988706,636321.2393695323
green_growth,2032,792162.0792427462,648233.7646137035
green_growth,2033,781888.239872267,661151.5938175872
green_growth,2034,771002.1590275957,675162.9333781804
green_growth,2035,760041.1404647299,690439.9787554148
low_carbon,2024,788765.7273305524,553563.9887622726
low_carbon,2025,791380.1873758542,567023.8690792223
low_carbon,2026,791048.2621786825,577295.6877665357
low_carbon,2027,790610.8548960298,587893.1321070314
low_carbon,2028,789866.5591370015,598653.2789404149
low_carbon,2029,788864.8640853494,609629.5819634182
low_carbon,2030,775260.6306044579,621107.068515368
low_carbon,2031,760753.3280942445,631242.1622986405
low_carbon,2032,745015.9390569736,642133.6109281647
low_carbon,2033,723496.8689398518,648712.0160147767
low_carbon,2034,702584.2906634825,657667.8372160069
low_carbon,2035,682999.1806017347,668869.7409189073
