level,scenario,province,province_id,year,energy_pred,co2_pred
national,baseline,ALL,-1,2024,560928.9175640759,799486.4144664238
national,baseline,ALL,-1,2025,582814.0898915709,826802.9336545311
national,baseline,ALL,-1,2026,605620.1591257409,855757.7692790971
national,baseline,ALL,-1,2027,629384.418853348,885829.5575763189
national,baseline,ALL,-1,2028,650826.3959627305,912381.0581919537
national,baseline,ALL,-1,2029,669333.388944477,913495.9809615657
national,baseline,ALL,-1,2030,688272.501845166,913810.9742685014
national,baseline,ALL,-1,2031,696596.510953142,898857.7050306286
national,baseline,ALL,-1,2032,705956.0756012059,884446.8345289596
national,baseline,ALL,-1,2033,716102.5303185204,870213.7728353573
national,baseline,ALL,-1,2034,726853.6643267743,855981.9972770703
national,baseline,ALL,-1,2035,738078.180368595,842295.168944353
national,extensive,ALL,-1,2024,547879.1016994384,781210.6024065668
national,extensive,ALL,-1,2025,561551.6853123317,800980.0431217965
national,extensive,ALL,-1,2026,578720.867386637,825676.9048639882
national,extensive,ALL,-1,2027,598677.508007863,854303.5065333012
national,extensive,ALL,-1,2028,620922.6091889847,886163.1763073296
national,extensive,ALL,-1,2029,645259.0320570344,920986.8663986996
national,extensive,ALL,-1,2030,671430.1799147776,958416.9586242327
national,extensive,ALL,-1,2031,698095.0560314842,996545.1231118283
national,extensive,ALL,-1,2032,725427.1851616016,1035622.9472175646
national,extensive,ALL,-1,2033,753542.9635579045,1075819.326743244
national,extensive,ALL,-1,2034,782533.1043702217,1117265.545027663
national,extensive,ALL,-1,2035,812680.8711369891,1160367.4985734723
national,green_growth,ALL,-1,2024,564768.3991396884,804958.5771643008
national,green_growth,ALL,-1,2025,590711.6975654538,837291.4665616713
national,green_growth,ALL,-1,2026,617806.0803083036,871480.733823411
national,green_growth,ALL,-1,2027,646099.8938736009,907009.0791902769
national,green_growth,ALL,-1,2028,667901.7144197897,912907.2229528691
national,green_growth,ALL,-1,2029,690319.9030537548,918011.7585087091
national,green_growth,ALL,-1,2030,713372.4528111324,922277.3178434776
national,green_growth,ALL,-1,2031,715060.3828241669,896904.3523418584
national,green_growth,ALL,-1,2032,720184.3647146303,875447.0177940567
national,green_growth,ALL,-1,2033,727793.1829096698,856546.9939154984
national,green_growth,ALL,-1,2034,737206.5536974529,839617.0340854421
national,green_growth,ALL,-1,2035,747931.549728661,823994.3765652026
national,low_carbon,ALL,-1,2024,561876.8916341584,800837.4973112463
national,low_carbon,ALL,-1,2025,584747.1726672398,828837.6180282753
national,low_carbon,ALL,-1,2026,608576.3201201407,858461.996597101
national,low_carbon,ALL,-1,2027,633401.5719258129,889184.1636366397
national,low_carbon,ALL,-1,2028,656479.5495824065,917128.741891008
national,low_carbon,ALL,-1,2029,680528.565140176,946110.4030028927
national,low_carbon,ALL,-1,2030,690060.9939601476,927903.2677042009
national,low_carbon,ALL,-1,2031,699824.3740579674,908425.3349458968
national,low_carbon,ALL,-1,2032,709817.8107163089,888226.8621598867
national,low_carbon,ALL,-1,2033,720014.2495260026,867288.3597245974
national,low_carbon,ALL,-1,2034,730370.9143842545,845685.2798349784
national,low_carbon,ALL,-1,2035,740838.8270224961,824583.9756534426
province,baseline,Anhui,0,2024,18681.40343357153,27326.074273387894
province,baseline,Anhui,0,2025,19419.34319709359,28274.79761290661
province,baseline,Anhui,0,2026,20188.07527937419,29278.604993960107
province,baseline,Anhui,0,2027,20988.53877236058,30319.45638886584
province,baseline,Anhui,0,2028,21711.18948884888,31239.189408772516
province,baseline,Anhui,0,2029,22335.424031618135,31296.665197029706
province,baseline,Anhui,0,2030,22973.50526355919,31326.02956718623
province,baseline,Anhui,0,2031,23295.427459039434,30869.284488006135
province,baseline,Anhui,0,2032,23633.287159767577,30408.289934472934
province,baseline,Anhui,0,2033,23984.476718929844,29937.95259311614
province,baseline,Anhui,0,2034,24347.022199280458,29454.346850665654
province,baseline,Anhui,0,2035,24719.097430310536,28954.023767836272
province,baseline,Beijing,1,2024,6983.5960314361155,6796.828872337012
province,baseline,Beijing,1,2025,7257.855889348893,7014.9086382481555
province,baseline,Beijing,1,2026,7543.382676819113,7264.528288707905
province,baseline,Beijing,1,2027,7840.560426899106,7547.584117190771
province,baseline,Beijing,1,2028,8108.550137813923,7802.316501866632
