scenario,province,peak_year,peak_co2,peaked_within_horizon,note
baseline,Anhui,2030,31326.02956718623,True,已达峰
baseline,Beijing,2035,8741.814373092646,False,未在预测期内达峰
baseline,Chongqing,2030,17476.630953894866,True,已达峰
baseline,Fujian,2028,22176.42249626361,True,已达峰
baseline,Gansu,2028,12965.355231918882,True,已达峰
baseline,Guangdong,2028,46457.15461427936,True,已达峰
baseline,Guangxi,2030,24298.941965535134,True,已达峰
baseline,Guizhou,2030,23206.061612179736,True,已达峰
baseline,Hainan,2028,4301.233723469449,True,已达峰
baseline,Hebei,2030,86192.73455103756,True,已达峰
baseline,Heilongjiang,2029,23420.764079520264,True,已达峰
baseline,Henan,2029,36547.46901250583,True,已达峰
baseline,Hubei,2030,38216.95965051569,True,已达峰
baseline,Hunan,2030,36040.01909261775,True,已达峰
baseline,InnerMongolia,2030,47570.26553767577,True,已达峰
baseline,Jiangsu,2028,56386.8907320824,True,已达峰
baseline,Jiangxi,2030,23068.88074244049,True,已达峰
baseline,Jilin,2029,11741.622770230982,True,已达峰
baseline,Liaoning,2030,60139.282294872755,True,已达峰
baseline,Ningxia,2030,15247.638196257289,True,已达峰
baseline,Qinghai,2028,7107.380115943027,True,已达峰
baseline,Shaanxi,2029,25275.745651937148,True,已达峰
baseline,Shandong,2028,59258.4663421814,True,已达峰
baseline,Shanghai,2030,20463.161486389232,True,已达峰
baseline,Shanxi,2030,39322.19330807886,True,已达峰
baseline,Sichuan,2030,39003.95117729375,True,已达峰
baseline,Tianjin,2029,16222.435976715913,True,已达峰
baseline,Xinjiang,2028,31939.879369017413,True,已达峰
baseline,Yunnan,2030,26311.86653238929,True,已达峰
baseline,Zhejiang,2028,27095.662725971873,True,已达峰
extensive,Anhui,2035,39981.32801847907,False,未在预测期内达峰
extensive,Beijing,2035,9927.108294290576,False,未在预测期内达峰
extensive,Chongqing,2035,22413.99662542616,False,未在预测期内达峰
extensive,Fujian,2035,28084.808947016714,False,未在预测期内达峰
extensive,Gansu,2035,16969.256316857005,False,未在预测期内达峰
extensive,Guangdong,2035,59044.22811782722,False,未在预测期内达峰
extensive,Guangxi,2035,30999.62095052663,False,未在预测期内达峰
extensive,Guizhou,2035,29802.332261413852,False,未在预测期内达峰
extensive,Hainan,2035,5421.03084039625,False,未在预测期内达峰
extensive,Hebei,2035,108122.08839326368,False,未在预测期内达峰
extensive,Heilongjiang,2035,29818.925209731115,False,未在预测期内达峰
extensive,Henan,2035,46414.60218345158,False,未在预测期内达峰
extensive,Hubei,2035,49547.1202068564,False,未在预测期内达峰
extensive,Hunan,2035,45870.983433605754,False,未在预测期内达峰
extensive,InnerMongolia,2035,60289.26419036978,False,未在预测期内达峰
extensive,Jiangsu,2035,70923.75273383672,False,未在预测期内达峰
extensive,Jiangxi,2035,28889.839791671136,False,未在预测期内达峰
extensive,Jilin,2035,15463.430042837592,False,未在预测期内达峰
extensive,Liaoning,2035,75880.57542049616,False,未在预测期内达峰
extensive,Ningxia,2035,19020.562335082923,False,未在预测期内达峰
extensive,Qinghai,2035,8967.242070546477,False,未在预测期内达峰
extensive,Shaanxi,2035,32165.526550887163,False,未在预测期内达峰
extensive,Shandong,2035,74929.68505887761,False,未在预测期内达峰
extensive,Shanghai,2035,26040.24812269355,False,未在预测期内达峰
extensive,Shanxi,2035,49873.48967277319,False,未在预测期内达峰
extensive,Sichuan,2035,49148.53979477119,False,未在预测期内达峰
extensive,Tianjin,2035,20417.42260903401,False,未在预测期内达峰
extensive,Xinjiang,2035,38973.875760677765,False,未在预测期内达峰
extensive,Yunnan,2035,33052.00938966836,False,未在预测期内达峰
extensive,Zhejiang,2035,33914.605230106536,False,未在预测期内达峰
green_growth,Anhui,2030,31627.762170506197,True,已达峰
green_growth,Beijing,2035,8693.683775587879,False,未在预测期内达峰
green_growth,Chongqing,2030,17664.648415269578,True,已达峰
green_growth,Fujian,2030,22176.939333653914,True,已达峰
green_growth,Gansu,2030,13004.755594460416,True,已达峰
green_growth,Guangdong,2029,46297.17147090494,True,已达峰
green_growth,Guangxi,2030,24554.52045211556,True,已达峰
green_growth,Guizhou,2030,23538.514181345385,True,已达峰
