scenario,year,co2_pred,energy_pred
baseline,2024,799486.4144664238,560928.9175640759
baseline,2025,826802.9336545311,582814.0898915709
baseline,2026,855757.7692790971,605620.1591257409
baseline,2027,885829.5575763189,629384.418853348
baseline,2028,912381.0581919537,650826.3959627305
baseline,2029,913495.9809615657,669333.388944477
baseline,2030,913810.9742685014,688272.501845166
baseline,2031,898857.7050306286,696596.510953142
baseline,2032,884446.8345289596,705956.0756012059
baseline,2033,870213.7728353573,716102.5303185204
baseline,2034,855981.9972770703,726853.6643267743
baseline,2035,842295.168944353,738078.180368595
extensive,2024,781210.6024065668,547879.1016994384
extensive,2025,800980.0431217965,561551.6853123317
extensive,2026,825676.9048639882,578720.867386637
extensive,2027,854303.5065333012,598677.508007863
extensive,2028,886163.1763073296,620922.6091889847
extensive,2029,920986.8663986996,645259.0320570344
extensive,2030,958416.9586242327,671430.1799147776
extensive,2031,996545.1231118283,698095.0560314842
extensive,2032,1035622.9472175646,725427.1851616016
extensive,2033,1075819.326743244,753542.9635579045
extensive,2034,1117265.545027663,782533.1043702217
extensive,2035,1160367.4985734723,812680.8711369891
green_growth,2024,804958.5771643008,564768.3991396884
green_growth,2025,837291.4665616713,590711.6975654538
green_growth,2026,871480.733823411,617806.0803083036
green_growth,2027,907009.0791902769,646099.8938736009
green_growth,2028,912907.2229528691,667901.7144197897
green_growth,2029,918011.7585087091,690319.9030537548
green_growth,2030,922277.3178434776,713372.4528111324
green_growth,2031,896904.3523418584,715060.3828241669
green_growth,2032,875447.0177940567,720184.3647146303
green_growth,2033,856546.9939154984,727793.1829096698
green_growth,2034,839617.0340854421,737206.5536974529
green_growth,2035,823994.3765652026,747931.549728661
low_carbon,2024,800837.4973112463,561876.8916341584
low_carbon,2025,828837.6180282753,584747.1726672398
low_carbon,2026,858461.996597101,608576.3201201407
low_carbon,2027,889184.1636366397,633401.5719258129
low_carbon,2028,917128.741891008,656479.5495824065
low_carbon,2029,946110.4030028927,680528.565140176
low_carbon,2030,927903.2677042009,690060.9939601476
low_carbon,2031,908425.3349458968,699824.3740579674
low_carbon,2032,888226.8621598867,709817.8107163089
low_carbon,2033,867288.3597245974,720014.2495260026
low_carbon,2034,845685.2798349784,730370.9143842545
low_carbon,2035,824583.9756534426,740838.8270224961
