scenario,variable,2024_2027,2028_2030,2031_2035
baseline,CarbonIntensity,-0.002,-0.016666666666666666,-0.027999999999999997
baseline,CoalShare,-0.2,-1.0,-1.4
baseline,Energy,0.042,0.032,0.012
baseline,EnergyIntensity,-0.0016,-0.013333333333333336,-0.0224
baseline,GasShare,0.1,0.10000000000000002,0.05
baseline,Industry,-1.2,-0.8000000000000002,-0.8
baseline,OilShare,-0.125,-0.10000000000000002,-0.1
baseline,Population,0.00025,0.0,-0.0005
baseline,Urbanization,0.7,0.65,0.5
baseline,pGDP,0.0475,0.045000000000000005,0.04
extensive,CarbonIntensity,-0.002,-0.0013333333333333333,-0.0008
extensive,CoalShare,0.0,0.0,0.0
extensive,Energy,0.044000000000000004,0.04,0.034
extensive,EnergyIntensity,-0.0016,-0.0010666666666666667,-0.00064
extensive,GasShare,0.0,0.0,0.0
extensive,Industry,-0.2,0.0,0.0
extensive,OilShare,0.0,0.0,0.0
extensive,Population,0.00025,0.0,-0.0005
extensive,Urbanization,0.7,0.65,0.5
extensive,pGDP,0.0475,0.045000000000000005,0.04
green_growth,CarbonIntensity,-0.002,-0.021,-0.027999999999999997
green_growth,CoalShare,-0.2,-1.3500000000000003,-1.4
green_growth,Energy,0.049999999999999996,0.037,0.013999999999999999
green_growth,EnergyIntensity,-0.0016,-0.016800000000000002,-0.0224
green_growth,GasShare,0.15,0.15,0.1
green_growth,Industry,-1.3,-1.0,-1.0
green_growth,OilShare,-0.22499999999999998,-0.20000000000000004,-0.2
green_growth,Population,0.00025,0.0,-0.0005
green_growth,Urbanization,0.7,0.65,0.5
green_growth,pGDP,0.0495,0.04700000000000001,0.042
low_carbon,CarbonIntensity,-0.002,-0.011333333333333334,-0.03
low_carbon,CoalShare,-0.2,-0.7000000000000001,-1.7
low_carbon,Energy,0.044,0.03366666666666667,0.009000000000000001
low_carbon,EnergyIntensity,-0.0016,-0.009066666666666667,-0.024
low_carbon,GasShare,0.15,0.15,0.1
low_carbon,Industry,-1.5,-1.1,-1.1
low_carbon,OilShare,-0.22499999999999998,-0.20000000000000004,-0.2
low_carbon,Population,0.00025,0.0,-0.0005
low_carbon,Urbanization,0.7,0.65,0.5
low_carbon,pGDP,0.0475,0.045000000000000005,0.04
