scenario,province,province_id,year,stirpat_log_energy_pred,residual_pred,hybrid_log_energy_pred,energy_pred,co2_pred,Population,pGDP,GDP,Energy,EnergyIntensity,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,CarbonIntensity,log_Population,log_pGDP,log_GDP,log_Energy,log_CarbonIntensity,energy_pred_raw
baseline,Anhui,0,2024,9.540600473462707,-0.014342270791530609,9.835283839237544,18681.40343357153,27326.074273387894,6124.0605,8.071088057506943,49427.83156499999,13455.714774647518,0.27401760113906365,33.83437242800366,24.14452518571115,4.631378412288851,37.38972397399634,40.22317741022128,63.681518871389386,0.010130535933654407,8.719980635892721,2.08828830064165,10.80826893653437,9.507159185098024,-4.592201056528261,13419.497049730844
baseline,Anhui,0,2025,9.587338512454822,-0.01466306671500206,9.874024920320418,19419.34319709359,28274.79761290661,6127.122530249999,8.47464246038229,51925.17275482161,13983.11592581954,0.27357917297724116,33.63437242800366,23.99452518571115,4.7313784122888505,37.63972397399634,39.02317741022128,64.43151887138939,0.010110274861787097,8.720480510934372,2.137078464811082,10.857558975745453,9.545605875489182,-4.594203059198935,13949.584658762804
baseline,Anhui,0,2026,9.62892565589349,-0.015316672623157501,9.912847376370092,20188.07527937419,29278.604993960107,6127.122530249999,8.856001371099492,54261.80552878857,14535.467214430842,0.27314144630047754,33.434372428003655,23.89452518571115,4.83137841228885,37.83972397399635,37.82317741022128,65.08151887138939,0.010090054312063524,8.720480510934372,2.181095350227856,10.901575861162227,9.584346956572055,-4.5962050618696075,14501.791453443951
baseline,Anhui,0,2027,9.67050019540675,-0.01640241965651512,9.95173179497267,20988.53877236058,30319.45638886584,6127.122530249999,9.254521432798969,56703.58677758406,15110.866694488597,0.2727044199863968,33.23437242800365,23.794525185711148,4.93137841228885,38.039723973996345,36.623177410221274,65.7315188713894,0.010069874203439397,8.720480510934372,2.2251122356446307,10.945592746579003,9.623169412621728,-4.598207064540281,15076.792015941548
baseline,Anhui,0,2028,9.712211426618058,-0.01766887679696083,9.985583051276947,21711.18948884888,31239.189408772516,6127.122530249999,9.670974897274922,59255.24818257534,15619.556528515444,0.2722680929144185,33.03437242800365,23.694525185711147,5.031378412288849,38.239723973996355,35.82317741022128,66.3815188713894,0.010049734455032518,8.720480510934372,2.269129121061405,10.989609631995776,9.656279031730422,-4.600209067210954,15595.896974644673
baseline,Anhui,0,2029,9.736976680428556,-0.018932495266199112,10.013929218679573,22335.424031618135,31296.665197029706,6127.122530249999,10.106168767652292,61921.73435079122,16063.773883884014,0.2670405455304617,31.63437242800365,23.594525185711145,5.131378412288849,39.63972397399636,35.02317741022128,67.03151887138941,0.009808540828111738,8.720480510934372,2.313146006478179,11.03362651741255,9.684321946438953,-4.6245017597799984,16044.306198010534
baseline,Anhui,0,2030,9.761735771053022,-0.020144600421190262,10.042096885849954,22973.50526355919,31326.02956718623,6127.122530249999,10.560946362196646,64708.21239657683,16525.635383950852,0.2619133670562768,30.234372428003653,23.494525185711144,5.231378412288849,41.03972397399636,34.22317741022128,67.68151887138941,0.009573135848237057,8.720480510934372,2.357162891894953,11.077643402829326,9.712668113841579,-4.648794452349042,16502.661976256502
baseline,Anhui,0,2031,9.77821914088048,-0.021291017532348633,10.056012373901792,23295.427459039434,30869.284488006135,6124.058968984874,10.983384216684511,67262.89262199368,16700.69391997158,0.2560465076342162,28.834372428003654,23.394525185711142,5.2813784122888485,42.48972397399636,33.423177410221285,68.18151887138941,0.00930508804448642,8.71998038589269,2.3963836050482348,11.116363990940924,9.723205549635688,-4.677193926870741,16733.90980342599
baseline,Anhui,0,2032,9.794695312578186,-0.022290870547294617,10.070411470102707,23633.287159767577,30408.289934472934,6120.996939500382,11.422719585351892,69918.43162271,16934.716721067103,0.2503110658632098,27.434372428003655,23.29452518571114,5.331378412288848,43.93972397399636,32.62317741022129,68.68151887138941,0.009044545579240799,8.719480260851007,2.435604318201516,11.155084579052524,9.737121037687526,-4.705593401392439,16976.606090847126
baseline,Anhui,0,2033,9.811163898646377,-0.023226860910654068,10.085162096684613,23984.476718929844,29937.95259311614,6117.936441030632,11.879628368765967,72678.81130317459,17180.325363937292,0.24470409798787388,26.034372428003657,23.19452518571114,5.381378412288848,45.38972397399636,31.823177410221287,69.18151887138941,0.008791298303022057,8.718980135809325,2.4748250313547975,11.193805167164122,9.751520133888443,-4.7339928759141365,17228.87767578625
baseline,Anhui,0,2034,9.827624482648535,-0.024124454706907272,10.100164829421848,24347.022199280458,29454.346850665654,6114.877472810117,12.354813503516606,75548.17077342393,17435.624207895686,0.23922272619294552,24.63437242800366,23.094525185711138,5.431378412288848,46.83972397399636,31.023177410221287,69.68151887138941,0.00854514195053744,8.718480010767642,2.5140457445080786,11.232525755275722,9.766270760470348,-4.762392350435834,17489.306610970816
baseline,Anhui,0,2035,9.84407661616725,-0.02504616603255272,10.115331399186228,24719.097430310536,28954.023767836272,6111.820034073712,12.84900604365727,78530.81255555872,17699.178290302465,0.23386413712622353,23.23437242800366,22.994525185711137,5.481378412288848,48.28972397399636,30.223177410221286,70.18151887138941,0.008305877975922391,8.71797988572596,2.5532664576613597,11.27124634338732,9.781273493207584,-4.790791824957533,17756.581095076934
baseline,Beijing,1,2024,8.537033889401133,0.00028497353196144104,8.851319253841387,6983.5960314361155,6796.828872337012,2187.093,21.019549405306496,45971.70936749999,5031.050754449138,0.11015679497827449,0.3162805121723722,37.87834159784871,12.327206392186724,49.4781714977922,13.968855157578023,88.30079241758904,0.0020203931381353587,7.690328543778135,3.0454529287445635,10.735781472522698,8.523384138782538,-6.204463163666305,5016.558133526278
