province,year,CO2,GDP,Population,Energy,Industry,S,Urbanization,A,B,C,CO2_source
Anhui,1990,62.208,658.0,5675.0,3516.25757717074,41.69157150575938,0.4169157150575938,17.94,0.11594713656387665,12.81759431764588,0.01769153670763049,MEIC_1990_2022
Beijing,1990,47.313,500.82,1086.0,2676.310212459955,62.359130765949686,0.6235913076594969,34.97566469822342,0.4611602209944751,8.569485229543035,0.017678443918693502,MEIC_1990_2022
Chongqing,1990,33.282,299.82,2920.9,1602.1950559077984,31.87309810910764,0.3187309810910764,27.4331975049905,0.10264644458899654,16.76604038291619,0.020772751655473386,MEIC_1990_2022
Fujian,1990,25.517,522.28,3037.0,2790.9893729555233,39.85311678420797,0.3985311678420797,27.987160617039088,0.1719723411261113,13.408879735039992,0.009142636029810004,MEIC_1990_2022
Gansu,1990,36.767,242.8,2255.0,1297.4883582630027,43.91465469506021,0.43914654695060207,22.93180488985165,0.10767184035476719,12.168731685053178,0.028337055793873474,MEIC_1990_2022
Guangdong,1990,82.541,1559.02768,6346.0,8331.220201852462,53.365071006423335,0.5336507100642334,30.0815975380808,0.24567092341632524,10.013771928863855,0.009907432284846685,MEIC_1990_2022
Guangxi,1990,33.795,449.06,4261.0,2399.7122000065237,29.31699380154575,0.2931699380154575,23.865155134835163,0.10538840647735273,18.227846062367167,0.014082938779036974,MEIC_1990_2022
Guizhou,1990,39.227,260.14,3268.0,1390.150829977502,38.753682804790046,0.38753682804790046,22.41278324352574,0.07960220318237454,13.789286884494421,0.028217801373851527,MEIC_1990_2022
Hainan,1990,2.098,102.42105,663.0,547.3233938059016,18.447720840932362,0.18447720840932363,26.108229763444438,0.154481221719457,28.96757028327517,0.003833199939456668,MEIC_1990_2022
Hebei,1990,140.724,896.33,6159.0,4789.858896877583,44.321885573916376,0.44321885573916375,25.034010088343134,0.14553174216593603,12.056924995547497,0.029379571095869913,MEIC_1990_2022
Heilongjiang,1990,115.622,715.2,3543.0,3821.9261689855834,58.17863360274283,0.5817863360274282,27.679050478734037,0.2018628281117697,9.185256114381396,0.030252285075064236,MEIC_1990_2022
